State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,AMBALA,Arhar/Tur,2001-02,Kharif,294.0,Hectare,400.0,Tonnes,1.3605442176870748
Haryana,AMBALA,Arhar/Tur,2002-03,Kharif,137.0,Hectare,200.0,Tonnes,1.4598540145985401
Haryana,AMBALA,Arhar/Tur,2003-04,Kharif,31.0,Hectare,0.0,Tonnes,0.0
Haryana,BHIWANI,Arhar/Tur,2001-02,Kharif,336.0,Hectare,200.0,Tonnes,0.5952380952380952
Haryana,BHIWANI,Arhar/Tur,2002-03,Kharif,1800.0,Hectare,8200.0,Tonnes,4.555555555555555
Haryana,BHIWANI,Arhar/Tur,2003-04,Kharif,777.0,Hectare,600.0,Tonnes,0.7722007722007722
Haryana,FARIDABAD,Arhar/Tur,2001-02,Kharif,3519.0,Hectare,2800.0,Tonnes,0.7956805910770105
Haryana,FARIDABAD,Arhar/Tur,2002-03,Kharif,4925.0,Hectare,3800.0,Tonnes,0.7715736040609137
Haryana,FARIDABAD,Arhar/Tur,2003-04,Kharif,3593.0,Hectare,4400.0,Tonnes,1.224603395491233
Haryana,FATEHABAD,Arhar/Tur,2003-04,Kharif,15.0,Hectare,0.0,Tonnes,0.0
Haryana,GURGAON,Arhar/Tur,2001-02,Kharif,1014.0,Hectare,500.0,Tonnes,0.4930966469428008
Haryana,GURGAON,Arhar/Tur,2002-03,Kharif,755.0,Hectare,400.0,Tonnes,0.5298013245033113
Haryana,GURGAON,Arhar/Tur,2003-04,Kharif,603.0,Hectare,800.0,Tonnes,1.3266998341625207
Haryana,HISAR,Arhar/Tur,2001-02,Kharif,139.0,Hectare,100.0,Tonnes,0.7194244604316546
Haryana,HISAR,Arhar/Tur,2002-03,Kharif,186.0,Hectare,200.0,Tonnes,1.075268817204301
Haryana,HISAR,Arhar/Tur,2003-04,Kharif,98.0,Hectare,100.0,Tonnes,1.0204081632653061
Haryana,JHAJJAR,Arhar/Tur,2001-02,Kharif,4362.0,Hectare,2900.0,Tonnes,0.6648326455754241
Haryana,JHAJJAR,Arhar/Tur,2002-03,Kharif,7978.0,Hectare,5200.0,Tonnes,0.6517924291802457
Haryana,JHAJJAR,Arhar/Tur,2003-04,Kharif,3924.0,Hectare,4300.0,Tonnes,1.0958205912334353
Haryana,JIND,Arhar/Tur,2001-02,Kharif,100.0,Hectare,100.0,Tonnes,1.0
Haryana,JIND,Arhar/Tur,2002-03,Kharif,1064.0,Hectare,1100.0,Tonnes,1.0338345864661653
Haryana,JIND,Arhar/Tur,2003-04,Kharif,706.0,Hectare,700.0,Tonnes,0.9915014164305949
Haryana,KAITHAL,Arhar/Tur,2001-02,Kharif,26.0,Hectare,0.0,Tonnes,0.0
Haryana,KAITHAL,Arhar/Tur,2002-03,Kharif,85.0,Hectare,100.0,Tonnes,1.1764705882352942
Haryana,KAITHAL,Arhar/Tur,2003-04,Kharif,39.0,Hectare,100.0,Tonnes,2.5641025641025643
Haryana,KARNAL,Arhar/Tur,2001-02,Kharif,408.0,Hectare,400.0,Tonnes,0.9803921568627451
Haryana,KARNAL,Arhar/Tur,2002-03,Kharif,216.0,Hectare,200.0,Tonnes,0.9259259259259259
Haryana,KARNAL,Arhar/Tur,2003-04,Kharif,345.0,Hectare,500.0,Tonnes,1.4492753623188406
Haryana,KURUKSHETRA,Arhar/Tur,2001-02,Kharif,10.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Arhar/Tur,2002-03,Kharif,319.0,Hectare,400.0,Tonnes,1.2539184952978057
