year,state,crop,loss_type,stage,loss_percentage,source_pdf_page,source_table,source_row
2022,Andhra Pradesh,Bajra,Farm Operations,Harvesting,1.17,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Collection,0.41,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Threshing,1.69,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Winnowing/Cleaning,0.15,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Drying,0.21,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Packaging,0.26,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Farm level storage,0.28,267,1,6
2022,Andhra Pradesh,Bajra,Farm Operations,Transport,0.18,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Godown,0.15,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Wholesalers,0.01,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Retailers,0.12,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Processing unit,0.13,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Transport,0.3,267,1,6
2022,Andhra Pradesh,Bajra,Market Operations,Total loss in market operations,0.72,267,1,6
2022,Andhra Pradesh,Bajra,Total,Overall total loss,5.07,267,1,6
2022,Andhra Pradesh,Black gram,Farm Operations,Harvesting,1.06,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Collection,0.6,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Threshing,0.99,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Winnowing/Cleaning,0.67,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Drying,0.29,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Packaging,0.26,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Farm level storage,0.69,267,1,11
2022,Andhra Pradesh,Black gram,Farm Operations,Transport,0.13,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Godown,0.04,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Wholesalers,0.22,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Retailers,0.23,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Processing unit,0.11,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Transport,0.27,267,1,11
2022,Andhra Pradesh,Black gram,Market Operations,Total loss in market operations,0.87,267,1,11
2022,Andhra Pradesh,Black gram,Total,Overall total loss,5.56,267,1,11
2022,Andhra Pradesh,Chickpea,Farm Operations,Harvesting,1.27,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Collection,0.84,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Threshing,1.87,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Winnowing/Cleaning,0.2,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Drying,0.27,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Packaging,0.16,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Farm level storage,0.16,267,1,16
2022,Andhra Pradesh,Chickpea,Farm Operations,Transport,0.24,267,1,16
2022,Andhra Pradesh,Chickpea,Market Operations,Wholesalers,0.16,267,1,16
2022,Andhra Pradesh,Chickpea,Market Operations,Retailers,0.11,267,1,16
2022,Andhra Pradesh,Chickpea,Market Operations,Processing unit,0.07,267,1,16
2022,Andhra Pradesh,Chickpea,Market Operations,Transport,0.35,267,1,16
2022,Andhra Pradesh,Chickpea,Market Operations,Total loss in market operations,0.69,267,1,16
2022,Andhra Pradesh,Chickpea,Total,Overall total loss,5.71,267,1,16
2022,Andhra Pradesh,Citrus,Farm Operations,Harvesting,0.74,267,1,21
2022,Andhra Pradesh,Citrus,Farm Operations,Collection,0.39,267,1,21
2022,Andhra Pradesh,Citrus,Farm Operations,Sorting/Grading,2.67,267,1,21
2022,Andhra Pradesh,Citrus,Farm Operations,Packaging,0.56,267,1,21
2022,Andhra Pradesh,Citrus,Farm Operations,Farm level storage,0.62,267,1,21
2022,Andhra Pradesh,Citrus,Farm Operations,Transport,0.86,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Godown,0.08,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Wholesalers,0.68,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Retailers,0.62,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Processing unit,0.03,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Transport,0.71,267,1,21
2022,Andhra Pradesh,Citrus,Market Operations,Total loss in market operations,2.12,267,1,21
2022,Andhra Pradesh,Citrus,Total,Overall total loss,7.97,267,1,21
2022,Andhra Pradesh,Cottonseed,Farm Operations,Harvesting,1.98,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Collection,0.34,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Drying,0.02,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Packaging,0.05,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Farm level storage,0.05,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Transport,0.14,267,1,26
2022,Andhra Pradesh,Cottonseed,Farm Operations,Total loss in farm operations,2.57,267,1,26
2022,Andhra Pradesh,Cottonseed,Market Operations,Godown,0.02,267,1,26
2022,Andhra Pradesh,Cottonseed,Market Operations,Wholesalers,0.25,267,1,26
