latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
32.698805,73.70113,15,30,7.7,6.6,0.7,30.3,36.3,33.4,1.53,14.5,6.9
32.698805,73.710174,15,30,7.7,6.1,0.75,29.7,37.6,32.7,1.53,14.3,4.2
32.698805,73.719217,15,30,7.7,6.1,0.74,25.6,41.0,33.4,1.54,15.7,4.7
32.698805,73.72826,15,30,7.8,7.8,0.73,24.1,41.7,34.2,1.55,14.7,5.8
32.698805,73.737303,15,30,7.9,8.8,0.74,24.3,42.6,33.1,1.55,15.4,8.4
32.698805,73.746346,15,30,7.8,9.4,0.74,25.5,43.8,30.7,1.55,15.4,10.2
32.698805,73.755389,15,30,7.7,7.0,0.74,25.2,41.7,33.2,1.54,14.6,7.9
32.698805,73.764432,15,30,7.7,7.2,0.73,29.4,37.1,33.5,1.55,14.4,6.6
32.698805,73.773475,15,30,7.7,6.3,0.72,30.6,37.1,32.3,1.52,16.2,7.6
32.698805,73.782518,15,30,7.7,6.2,0.64,32.8,35.4,31.7,1.51,16.6,5.0
32.698805,73.791562,15,30,7.7,6.3,1.04,32.5,35.6,31.8,1.51,15.1,6.0
32.698805,73.800605,15,30,7.8,6.2,0.69,31.7,34.6,33.7,1.52,14.6,4.1
32.698805,73.809648,15,30,7.7,7.1,0.72,31.5,37.0,31.5,1.5,15.9,6.7
32.698805,73.818691,15,30,7.7,8.5,0.75,30.7,37.2,32.1,1.5,15.8,7.3
32.698805,73.827734,15,30,7.7,7.3,0.77,31.5,36.0,32.5,1.5,16.3,5.9
32.698805,73.836777,15,30,7.7,7.2,0.75,31.5,36.1,32.3,1.5,16.6,6.1
32.698805,73.84582,15,30,7.7,6.9,0.74,31.2,36.0,32.8,1.5,16.7,5.7
32.698805,73.854863,15,30,7.7,7.1,0.76,31.9,36.6,31.4,1.5,16.8,4.7
32.698805,73.863906,15,30,7.7,7.0,0.74,32.4,35.7,32.0,1.5,15.8,5.0
32.698805,73.87295,15,30,7.7,6.6,0.78,33.7,36.7,29.6,1.5,16.0,4.6
32.698805,73.881993,15,30,7.7,6.9,0.78,33.0,37.9,29.0,1.5,16.0,4.9
32.698805,73.891036,15,30,7.7,7.1,0.73,33.6,37.9,28.5,1.51,15.5,5.0
32.698805,73.900079,15,30,7.7,6.3,0.72,32.6,38.3,29.0,1.51,15.4,4.5
32.698805,73.909122,15,30,7.8,6.2,0.68,32.0,38.0,30.0,1.53,14.4,4.7
32.698805,73.918165,15,30,7.8,5.7,0.69,33.3,36.9,29.8,1.54,13.6,4.1
32.698805,73.927208,15,30,7.8,6.1,0.7,33.3,37.3,29.4,1.53,13.0,3.8
32.698805,73.936251,15,30,7.8,6.4,0.74,34.0,36.1,29.9,1.54,12.9,4.1
32.698805,73.945294,15,30,7.8,11.1,0.68,33.7,38.8,27.5,1.54,13.5,5.5
32.698805,73.972424,15,30,7.8,6.8,0.65,32.9,37.8,29.3,1.54,14.7,4.5
32.698805,73.981467,15,30,7.9,7.4,0.71,34.2,37.7,28.1,1.54,14.6,4.4
32.698805,73.99051,15,30,7.9,7.8,0.73,33.7,38.9,27.4,1.52,15.4,5.0
32.698805,73.999553,15,30,7.9,6.9,0.73,34.6,38.4,27.0,1.52,15.8,4.7
32.698805,74.008596,15,30,7.8,7.1,0.69,34.2,38.2,27.6,1.51,15.5,5.3
32.698805,74.017639,15,30,7.7,8.3,0.77,33.9,38.0,28.1,1.53,16.1,6.9
32.698805,74.026682,15,30,7.8,6.7,0.69,35.6,38.5,25.8,1.51,16.1,6.1
32.698805,74.035726,15,30,7.8,7.8,0.71,35.1,37.5,27.5,1.51,17.0,6.3
32.698805,74.044769,15,30,7.7,7.9,0.72,34.8,37.9,27.3,1.5,17.7,6.4
32.698805,74.053812,15,30,7.7,8.2,0.78,34.4,37.3,28.3,1.5,18.1,5.9
32.698805,74.062855,15,30,7.7,8.8,0.74,36.7,35.9,27.4,1.5,18.3,8.2
32.698805,74.071898,15,30,7.7,8.4,0.66,34.8,37.4,27.8,1.49,19.0,8.2
32.698805,74.080941,15,30,7.7,8.2,0.69,35.4,37.3,27.4,1.51,18.3,9.5
32.698805,74.089984,15,30,7.6,7.9,0.8,35.8,35.8,28.5,1.5,15.8,12.0
32.698805,74.099027,15,30,7.6,7.6,0.8,35.1,36.4,28.5,1.5,15.8,12.4
32.698805,74.10807,15,30,7.7,7.5,0.69,33.9,37.0,29.1,1.54,16.3,11.4
32.698805,74.117114,15,30,7.7,7.9,0.69,34.4,36.8,28.9,1.53,15.6,12.3
32.698805,74.126157,15,30,7.7,7.3,0.69,34.3,34.4,31.3,1.55,13.9,11.5
32.698805,74.1352,15,30,7.7,7.0,0.69,32.0,33.3,34.7,1.55,13.6,10.5
32.698805,74.144243,15,30,7.8,7.6,0.75,30.8,34.4,34.8,1.55,15.1,8.9
32.698805,74.153286,15,30,7.8,6.8,0.69,31.7,36.0,32.3,1.56,14.2,6.7
32.698805,74.162329,15,30,7.8,6.7,0.7,31.7,35.5,32.7,1.57,14.9,7.4
32.698805,74.171372,15,30,7.8,7.1,0.7,31.9,36.4,31.8,1.56,14.7,6.6
32.698805,74.180415,15,30,7.7,7.1,0.75,33.3,35.6,31.2,1.52,15.7,8.5
32.698805,74.189458,15,30,7.7,7.8,0.82,32.6,36.5,30.9,1.52,16.1,8.3
32.698805,74.198502,15,30,7.7,8.1,0.82,33.6,36.4,30.0,1.53,16.2,6.5
32.698805,74.207545,15,30,7.8,8.0,0.74,33.4,36.9,29.7,1.53,16.5,5.1
32.698805,74.216588,15,30,7.7,8.0,0.76,32.9,36.4,30.6,1.53,15.8,5.5
32.698805,74.225631,15,30,7.6,7.9,0.78,31.8,37.4,30.8,1.52,15.5,5.3
32.698805,74.234674,15,30,7.7,7.6,0.8,31.2,39.0,29.7,1.53,15.0,5.8
32.698805,74.243717,15,30,7.8,7.2,0.78,32.3,37.2,30.5,1.54,14.4,7.4
32.698805,74.25276,15,30,7.8,7.8,0.76,32.3,37.1,30.6,1.54,15.6,6.1
32.698805,74.261803,15,30,7.8,7.8,0.77,32.5,37.6,29.8,1.55,14.6,5.3
32.698805,74.270846,15,30,7.8,7.9,0.78,33.5,37.5,29.0,1.54,14.5,5.3
32.698805,74.27989,15,30,7.8,9.3,0.73,33.3,35.0,31.8,1.53,14.5,4.9
32.698805,74.288933,15,30,7.7,7.7,0.75,34.2,34.0,31.7,1.53,14.2,4.8
32.698805,74.297976,15,30,7.7,7.5,0.79,34.1,34.2,31.7,1.53,13.8,5.8
32.698805,74.307019,15,30,7.7,9.0,0.9,34.1,34.8,31.2,1.52,13.8,6.5
32.698805,74.316062,15,30,7.7,7.3,0.93,34.6,34.1,31.3,1.53,14.7,5.8
32.698805,74.325105,15,30,7.7,7.0,0.86,33.7,34.1,32.2,1.55,14.4,6.4
32.698805,74.334148,15,30,7.8,7.9,0.86,33.5,34.1,32.4,1.52,14.2,6.6
32.698805,74.343191,15,30,7.7,7.9,0.83,33.3,33.7,33.0,1.51,15.1,6.7
32.698805,74.352234,15,30,7.6,8.0,0.92,32.9,35.0,32.1,1.51,15.3,6.8
32.698805,74.379364,15,30,7.6,8.9,0.88,31.1,35.8,33.1,1.51,15.3,6.6
32.698805,74.388407,15,30,7.6,11.1,0.94,31.5,35.5,32.9,1.47,15.5,5.9
32.698805,74.39745,15,30,7.6,10.8,0.91,31.5,36.3,32.2,1.48,16.3,6.2
32.698805,74.406493,15,30,7.3,13.6,0.86,32.2,35.4,32.4,1.48,18.2,5.5
32.698805,74.415536,15,30,7.5,11.4,0.86,30.6,37.7,31.7,1.47,17.4,5.6
32.698805,74.424579,15,30,7.5,10.1,0.88,31.8,35.9,32.3,1.48,17.1,4.7
32.698805,74.433623,15,30,7.5,9.9,0.81,31.3,35.3,33.3,1.48,17.3,5.1
32.698805,74.442666,15,30,7.6,10.3,0.82,34.3,32.5,33.2,1.48,15.6,6.7
32.698805,74.460752,15,30,7.5,12.6,0.8,29.0,37.4,33.5,1.5,13.2,4.6
32.698805,74.469795,15,30,7.6,12.1,0.77,29.3,39.7,31.1,1.51,15.6,4.6
32.698805,74.478838,15,30,7.6,12.5,0.8,28.1,39.8,32.1,1.49,16.3,5.9
32.698805,74.505967,15,30,7.5,12.9,0.76,30.4,43.7,26.0,1.48,13.9,4.8
32.698805,74.515011,15,30,7.6,9.1,0.86,31.8,41.5,26.7,1.48,14.6,4.9
32.698805,74.524054,15,30,7.7,9.1,0.96,35.5,35.1,29.4,1.47,15.0,4.2
32.698805,74.533097,15,30,7.0,10.4,1.08,35.9,33.5,30.6,1.43,15.1,5.2
32.698805,74.54214,15,30,7.1,10.4,1.0,33.7,37.2,29.1,1.43,16.3,4.9
