State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Haryana,AMBALA,1997,Kharif,Bajra,1000.00,1000.00
Haryana,AMBALA,1997,Kharif,Maize,8000.00,15000.00
Haryana,AMBALA,1997,Kharif,Other Kharif pulses,1000.00,600.00
Haryana,AMBALA,1997,Kharif,Rice,65000.00,182000.00
Haryana,AMBALA,1997,Rabi,Other  Rabi pulses,25000.00,18000.00
Haryana,AMBALA,1997,Rabi,Wheat,72000.00,226000.00
Haryana,AMBALA,1997,Whole Year,Sugarcane,12000.00,580000.00
Haryana,AMBALA,1998,Kharif,Arhar/Tur,130.00,200.00
Haryana,AMBALA,1998,Kharif,Bajra,370.00,
Haryana,AMBALA,1998,Kharif,Cotton(lint),25.00,
Haryana,AMBALA,1998,Kharif,Groundnut,17.00,
Haryana,AMBALA,1998,Kharif,Jowar,1.00,
Haryana,AMBALA,1998,Kharif,Maize,5610.00,11000.00
Haryana,AMBALA,1998,Kharif,Moth,1.00,
Haryana,AMBALA,1998,Kharif,Rice,71365.00,186000.00
Haryana,AMBALA,1998,Kharif,Sesamum,6.00,
Haryana,AMBALA,1998,Kharif,Urad,434.00,100.00
Haryana,AMBALA,1998,Rabi,Barley,104.00,
Haryana,AMBALA,1998,Rabi,Gram,108.00,
Haryana,AMBALA,1998,Rabi,Masoor,2675.00,1900.00
Haryana,AMBALA,1998,Rabi,Peas & beans (Pulses),59.00,100.00
Haryana,AMBALA,1998,Rabi,Rapeseed &Mustard,778.00,1000.00
Haryana,AMBALA,1998,Rabi,Sunflower,3321.00,4100.00
Haryana,AMBALA,1998,Rabi,Wheat,74688.00,284000.00
Haryana,AMBALA,1998,Whole Year,Dry chillies,116.00,100.00
Haryana,AMBALA,1998,Whole Year,Onion,898.00,12100.00
Haryana,AMBALA,1998,Whole Year,Potato,2567.00,40200.00
Haryana,AMBALA,1998,Whole Year,Sugarcane,14296.00,700000.00
Haryana,AMBALA,1999,Kharif,Arhar/Tur,110.00,100.00
Haryana,AMBALA,1999,Kharif,Bajra,371.00,.00
Haryana,AMBALA,1999,Kharif,Cotton(lint),25.00,.00
Haryana,AMBALA,1999,Kharif,Groundnut,6.00,.00
Haryana,AMBALA,1999,Kharif,Jowar,1.00,.00
Haryana,AMBALA,1999,Kharif,Maize,5608.00,14000.00
Haryana,AMBALA,1999,Kharif,Rice,72185.00,206000.00
Haryana,AMBALA,1999,Kharif,Sesamum,7.00,.00
Haryana,AMBALA,1999,Rabi,Barley,67.00,.00
Haryana,AMBALA,1999,Rabi,Gram,67.00,.00
Haryana,AMBALA,1999,Rabi,Masoor,1884.00,1400.00
Haryana,AMBALA,1999,Rabi,Peas & beans (Pulses),36.00,.00
Haryana,AMBALA,1999,Rabi,Rapeseed &Mustard,1588.00,2000.00
Haryana,AMBALA,1999,Rabi,Sunflower,1118.00,1400.00
Haryana,AMBALA,1999,Rabi,Wheat,78420.00,325000.00
Haryana,AMBALA,1999,Whole Year,Dry chillies,216.00,200.00
Haryana,AMBALA,1999,Whole Year,Onion,680.00,9800.00
Haryana,AMBALA,1999,Whole Year,Potato,2556.00,40200.00
