year,state,crop,loss_type,stage,loss_percentage,source_pdf_page,source_table,source_row
2022,Haryana,Bajra,Farm Operations,Harvesting,0.69,272,2,7
2022,Haryana,Bajra,Farm Operations,Collection,0.29,272,2,7
2022,Haryana,Bajra,Farm Operations,Threshing,0.83,272,2,7
2022,Haryana,Bajra,Farm Operations,Winnowing/Cleaning,0.15,272,2,7
2022,Haryana,Bajra,Farm Operations,Drying,0.22,272,2,7
2022,Haryana,Bajra,Farm Operations,Packaging,0.24,272,2,7
2022,Haryana,Bajra,Farm Operations,Farm level storage,0.31,272,2,7
2022,Haryana,Bajra,Farm Operations,Transport,0.24,272,2,7
2022,Haryana,Bajra,Farm Operations,Total loss in farm operations,2.96,272,2,7
2022,Haryana,Bajra,Market Operations,Godown,0.14,272,2,7
2022,Haryana,Bajra,Market Operations,Wholesalers,0.05,272,2,7
2022,Haryana,Bajra,Market Operations,Retailers,0.16,272,2,7
2022,Haryana,Bajra,Market Operations,Processing unit,0.14,272,2,7
2022,Haryana,Bajra,Market Operations,Transport,0.32,272,2,7
2022,Haryana,Bajra,Market Operations,Total loss in market operations,0.81,272,2,7
2022,Haryana,Bajra,Total,Overall total loss,3.77,272,2,7
2022,Haryana,Cottonseed,Farm Operations,Harvesting,1.7,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Collection,0.2,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Drying,0.05,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Packaging,0.03,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Farm level storage,0.03,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Transport,0.28,272,2,12
2022,Haryana,Cottonseed,Farm Operations,Total loss in farm operations,2.28,272,2,12
2022,Haryana,Cottonseed,Market Operations,Godown,0.01,272,2,12
2022,Haryana,Cottonseed,Market Operations,Wholesalers,0.16,272,2,12
2022,Haryana,Cottonseed,Market Operations,Retailers,0.02,272,2,12
2022,Haryana,Cottonseed,Market Operations,Processing unit,0.03,272,2,12
2022,Haryana,Cottonseed,Market Operations,Transport,0.05,272,2,12
2022,Haryana,Cottonseed,Market Operations,Total loss in market operations,0.27,272,2,12
2022,Haryana,Cottonseed,Total,Overall total loss,2.55,272,2,12
2022,Haryana,Meat,Market Operations,Wholesalers,0.15,272,2,18
2022,Haryana,Meat,Market Operations,Retailers,0.2,272,2,18
2022,Haryana,Meat,Market Operations,Processing unit,0.39,272,2,18
2022,Haryana,Meat,Market Operations,Transport,0.03,272,2,18
2022,Haryana,Meat,Market Operations,Total loss in market operations,0.76,272,2,18
2022,Haryana,Mushroom,Farm Operations,Harvesting,0.1,272,2,22
2022,Haryana,Mushroom,Farm Operations,Collection,0.11,272,2,22
2022,Haryana,Mushroom,Farm Operations,Sorting/Grading,4.24,272,2,22
2022,Haryana,Mushroom,Farm Operations,Trimming,0.04,272,2,22
2022,Haryana,Mushroom,Farm Operations,Winnowing/Cleaning,0.04,272,2,22
2022,Haryana,Mushroom,Farm Operations,Packaging,0.24,272,2,22
2022,Haryana,Mushroom,Farm Operations,Farm level storage,0.06,272,2,22
2022,Haryana,Mushroom,Farm Operations,Transport,0.004,272,2,22
2022,Haryana,Mushroom,Farm Operations,Total loss in farm operations,4.83,272,2,22
2022,Haryana,Mushroom,Market Operations,Wholesalers,0.32,272,2,22
2022,Haryana,Mushroom,Market Operations,Retailers,0.22,272,2,22
2022,Haryana,Mushroom,Market Operations,Transport,0.54,272,2,22
2022,Haryana,Mushroom,Market Operations,Total loss in market operations,1.08,272,2,22
2022,Haryana,Mushroom,Total,Overall total loss,5.91,272,2,22
2022,Haryana,Poultry Meat,Farm Operations,Harvesting,1.58,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Collection,0.53,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Threshing,1.33,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Winnowing/Cleaning,0.44,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Drying,0.14,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Packaging,0.12,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Farm level storage,0.01,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Transport,0.05,272,2,26
2022,Haryana,Poultry Meat,Farm Operations,Total loss in farm operations,4.2,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Godown,0.02,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Wholesalers,0.03,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Retailers,0.03,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Processing unit,0.04,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Transport,0.2,272,2,26
2022,Haryana,Poultry Meat,Market Operations,Total loss in market operations,0.32,272,2,26
2022,Haryana,Sugarcane,Farm Operations,Harvesting,0.96,272,2,29
2022,Haryana,Sugarcane,Farm Operations,Collection,0.47,272,2,29
2022,Haryana,Sugarcane,Farm Operations,Winnowing/Cleaning,1.08,272,2,29
2022,Haryana,Sugarcane,Farm Operations,Transport,2.86,272,2,29
2022,Haryana,Sugarcane,Farm Operations,Total loss in farm operations,5.37,272,2,29
2022,Haryana,Sugarcane,Market Operations,Processing unit,0.32,272,2,29
2022,Haryana,Sugarcane,Market Operations,Transport,0.65,272,2,29
2022,Haryana,Sugarcane,Market Operations,Total loss in market operations,0.97,272,2,29
2022,Haryana,Sugarcane,Total,Overall total loss,6.34,272,2,29
2022,Haryana,Wheat,Farm Operations,Harvesting,1.62,272,2,34
2022,Haryana,Wheat,Farm Operations,Collection,0.56,272,2,34
2022,Haryana,Wheat,Farm Operations,Threshing,1.0,272,2,34
2022,Haryana,Wheat,Farm Operations,Winnowing/Cleaning,0.03,272,2,34
2022,Haryana,Wheat,Farm Operations,Drying,0.03,272,2,34
2022,Haryana,Wheat,Farm Operations,Packaging,0.005,272,2,34
2022,Haryana,Wheat,Farm Operations,Farm level storage,0.26,272,2,34
2022,Haryana,Wheat,Farm Operations,Transport,0.13,272,2,34
2022,Haryana,Wheat,Farm Operations,Total loss in farm operations,3.64,272,2,34
