column,check,count
RICE AREA (1000 ha),negative values,22
RICE AREA (1000 ha),zero values,1094
RICE PRODUCTION (1000 tons),negative values,22
RICE PRODUCTION (1000 tons),zero values,1136
RICE YIELD (Kg per ha),negative values,22
RICE YIELD (Kg per ha),zero values,1143
WHEAT AREA (1000 ha),negative values,35
WHEAT AREA (1000 ha),zero values,2304
WHEAT PRODUCTION (1000 tons),negative values,35
WHEAT PRODUCTION (1000 tons),zero values,2372
WHEAT YIELD (Kg per ha),negative values,35
WHEAT YIELD (Kg per ha),zero values,2369
KHARIF SORGHUM AREA (1000 ha),negative values,40
KHARIF SORGHUM AREA (1000 ha),zero values,4579
KHARIF SORGHUM PRODUCTION (1000 tons),negative values,40
KHARIF SORGHUM PRODUCTION (1000 tons),zero values,4855
KHARIF SORGHUM YIELD (Kg per ha),negative values,40
KHARIF SORGHUM YIELD (Kg per ha),zero values,4864
RABI SORGHUM AREA (1000 ha),negative values,40
RABI SORGHUM AREA (1000 ha),zero values,12033
RABI SORGHUM PRODUCTION (1000 tons),negative values,40
RABI SORGHUM PRODUCTION (1000 tons),zero values,12094
RABI SORGHUM YIELD (Kg per ha),negative values,40
RABI SORGHUM YIELD (Kg per ha),zero values,12113
SORGHUM AREA (1000 ha),negative values,40
SORGHUM AREA (1000 ha),zero values,4289
SORGHUM PRODUCTION (1000 tons),negative values,40
SORGHUM PRODUCTION (1000 tons),zero values,4530
SORGHUM YIELD (Kg per ha),negative values,40
SORGHUM YIELD (Kg per ha),zero values,4541
PEARL MILLET AREA (1000 ha),negative values,54
PEARL MILLET AREA (1000 ha),zero values,5846
PEARL MILLET PRODUCTION (1000 tons),negative values,26
PEARL MILLET PRODUCTION (1000 tons),zero values,6132
PEARL MILLET YIELD (Kg per ha),negative values,54
PEARL MILLET YIELD (Kg per ha),zero values,6133
MAIZE AREA (1000 ha),negative values,28
MAIZE AREA (1000 ha),zero values,1852
MAIZE PRODUCTION (1000 tons),negative values,28
MAIZE PRODUCTION (1000 tons),zero values,1930
MAIZE YIELD (Kg per ha),negative values,28
MAIZE YIELD (Kg per ha),zero values,1964
FINGER MILLET AREA (1000 ha),negative values,20
FINGER MILLET AREA (1000 ha),zero values,10003
FINGER MILLET PRODUCTION (1000 tons),negative values,20
FINGER MILLET PRODUCTION (1000 tons),zero values,10235
FINGER MILLET YIELD (Kg per ha),negative values,20
FINGER MILLET YIELD (Kg per ha),zero values,10243
BARLEY AREA (1000 ha),negative values,20
BARLEY AREA (1000 ha),zero values,8114
BARLEY PRODUCTION (1000 tons),negative values,20
BARLEY PRODUCTION (1000 tons),zero values,8131
