column,value,sample_count,sample_percent
State Name,Uttar Pradesh,2392,14.814814814814815
State Name,Madhya Pradesh,1924,11.916264090177133
State Name,Rajasthan,1352,8.373590982286634
State Name,Maharashtra,1348,8.348817044469218
State Name,Karnataka,988,6.119162640901771
State Name,Gujarat,936,5.797101449275362
State Name,West Bengal,774,4.793756967670011
State Name,Orissa,676,4.186795491143317
State Name,Tamil Nadu,624,3.864734299516908
State Name,Andhra Pradesh,572,3.5426731078904994
State Name,Punjab,572,3.5426731078904994
State Name,Bihar,572,3.5426731078904994
State Name,Assam,520,3.2206119162640903
State Name,Himachal Pradesh,520,3.2206119162640903
State Name,Kerala,516,3.195837978446674
State Name,Telangana,468,2.898550724637681
State Name,Uttarakhand,416,2.576489533011272
State Name,Haryana,364,2.254428341384863
State Name,Chhattisgarh,312,1.932367149758454
State Name,Jharkhand,300,1.858045336306206
