column,dtype,rows,missing_count,missing_percent,unique_values_tracked
Dist Code,int64,16146,0,0.0,311
Year,int64,16146,0,0.0,52
State Code,int64,16146,0,0.0,20
State Name,int64,16146,0,0.0,20
Dist Name,int64,16146,0,0.0,311
RICE AREA (1000 ha),int64,16146,0,0.0,8447
RICE PRODUCTION (1000 tons),int64,16146,0,0.0,9392
RICE YIELD (Kg per ha),int64,16146,0,0.0,12907
WHEAT AREA (1000 ha),int64,16146,0,0.0,6562
WHEAT PRODUCTION (1000 tons),int64,16146,0,0.0,7775
WHEAT YIELD (Kg per ha),int64,16146,0,0.0,11798
KHARIF SORGHUM AREA (1000 ha),int64,16146,0,0.0,3359
KHARIF SORGHUM PRODUCTION (1000 tons),int64,16146,0,0.0,3048
KHARIF SORGHUM YIELD (Kg per ha),int64,16146,0,0.0,7703
RABI SORGHUM AREA (1000 ha),int64,16146,0,0.0,2000
RABI SORGHUM PRODUCTION (1000 tons),int64,16146,0,0.0,1782
RABI SORGHUM YIELD (Kg per ha),int64,16146,0,0.0,2934
SORGHUM AREA (1000 ha),int64,16146,0,0.0,4095
SORGHUM PRODUCTION (1000 tons),int64,16146,0,0.0,3658
SORGHUM YIELD (Kg per ha),int64,16146,0,0.0,8185
PEARL MILLET AREA (1000 ha),int64,16146,0,0.0,3617
PEARL MILLET PRODUCTION (1000 tons),int64,16146,0,0.0,3165
PEARL MILLET YIELD (Kg per ha),int64,16146,0,0.0,6382
MAIZE AREA (1000 ha),int64,16146,0,0.0,4113
MAIZE PRODUCTION (1000 tons),int64,16146,0,0.0,4875
MAIZE YIELD (Kg per ha),int64,16146,0,0.0,9174
FINGER MILLET AREA (1000 ha),int64,16146,0,0.0,1884
FINGER MILLET PRODUCTION (1000 tons),int64,16146,0,0.0,1900
FINGER MILLET YIELD (Kg per ha),int64,16146,0,0.0,3692
BARLEY AREA (1000 ha),int64,16146,0,0.0,1778
BARLEY PRODUCTION (1000 tons),int64,16146,0,0.0,2179
BARLEY YIELD (Kg per ha),int64,16146,0,0.0,4981
CHICKPEA AREA (1000 ha),int64,16146,0,0.0,3612
CHICKPEA PRODUCTION (1000 tons),int64,16146,0,0.0,3376
CHICKPEA YIELD (Kg per ha),int64,16146,0,0.0,8495
PIGEONPEA AREA (1000 ha),int64,16146,0,0.0,2655
PIGEONPEA PRODUCTION (1000 tons),int64,16146,0,0.0,2311
PIGEONPEA YIELD (Kg per ha),int64,16146,0,0.0,7733
MINOR PULSES AREA (1000 ha),int64,16146,0,0.0,6984
MINOR PULSES PRODUCTION (1000 tons),int64,16146,0,0.0,4409
MINOR PULSES YIELD (Kg per ha),int64,16146,0,0.0,11827
GROUNDNUT AREA (1000 ha),int64,16146,0,0.0,3371
GROUNDNUT PRODUCTION (1000 tons),int64,16146,0,0.0,3458
GROUNDNUT YIELD (Kg per ha),int64,16146,0,0.0,7176
SESAMUM AREA (1000 ha),int64,16146,0,0.0,2215
SESAMUM PRODUCTION (1000 tons),int64,16146,0,0.0,1301
SESAMUM YIELD (Kg per ha),int64,16146,0,0.0,5840
RAPESEED AND MUSTARD AREA (1000 ha),int64,16146,0,0.0,3464
RAPESEED AND MUSTARD PRODUCTION (1000 tons),int64,16146,0,0.0,3028
RAPESEED AND MUSTARD YIELD (Kg per ha),int64,16146,0,0.0,7019
SAFFLOWER AREA (1000 ha),int64,16146,0,0.0,915
SAFFLOWER PRODUCTION (1000 tons),int64,16146,0,0.0,661
SAFFLOWER YIELD (Kg per ha),int64,16146,0,0.0,1319
CASTOR AREA (1000 ha),int64,16146,0,0.0,1043
CASTOR PRODUCTION (1000 tons),int64,16146,0,0.0,891
CASTOR YIELD (Kg per ha),int64,16146,0,0.0,2040
LINSEED AREA (1000 ha),int64,16146,0,0.0,1111
LINSEED PRODUCTION (1000 tons),int64,16146,0,0.0,596
LINSEED YIELD (Kg per ha),int64,16146,0,0.0,2740
SUNFLOWER AREA (1000 ha),int64,16146,0,0.0,1226
SUNFLOWER PRODUCTION (1000 tons),int64,16146,0,0.0,1112
SUNFLOWER YIELD (Kg per ha),int64,16146,0,0.0,2423
SOYABEAN AREA (1000 ha),int64,16146,0,0.0,1839
SOYABEAN PRODUCTION (1000 tons),int64,16146,0,0.0,1844
SOYABEAN YIELD (Kg per ha),int64,16146,0,0.0,2564
OILSEEDS AREA (1000 ha),int64,16146,0,0.0,8232
OILSEEDS PRODUCTION (1000 tons),int64,16146,0,0.0,6261
OILSEEDS YIELD (Kg per ha),int64,16146,0,0.0,11683
SUGARCANE AREA (1000 ha),int64,16146,0,0.0,2828
SUGARCANE PRODUCTION (1000 tons),int64,16146,0,0.0,5598
SUGARCANE YIELD (Kg per ha),int64,16146,0,0.0,8932
COTTON AREA (1000 ha),int64,16146,0,0.0,3298
COTTON PRODUCTION (1000 tons),int64,16146,0,0.0,2318
COTTON YIELD (Kg per ha),int64,16146,0,0.0,4934
FRUITS AREA (1000 ha),int64,16146,0,0.0,3254
VEGETABLES AREA (1000 ha),int64,16146,0,0.0,3769
FRUITS AND VEGETABLES AREA (1000 ha),int64,16146,0,0.0,5182
POTATOES AREA (1000 ha),int64,16146,0,0.0,1899
ONION AREA (1000 ha),int64,16146,0,0.0,984
FODDER AREA (1000 ha),int64,16146,0,0.0,4658
