,Dist Code,Year,State Code,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
Dist Code,1.0,0.0002844076589815826,0.32473012099622733,0.37866795052763674,0.2306983212990377,-0.007322344583007734,-0.10957983764797327,-0.09033307797996316,0.01890316778543692,-0.30243429050192167,-0.2560166612590101,-0.43306910255555736,-0.15258756871578685,-0.16487594326263091,-0.27669016545330455,-0.2679186067411743,-0.27103593169702705,-0.435157349342655,-0.17238000732318595,-0.17024120362771017,-0.3048739386562201,-0.007525457763654209,-0.0158105503479831,-0.08421858061965652,-0.07728958947254029,-0.10134903411461785,0.018732705929971928,-0.04118388481225414,-0.07902419650128353,-0.07208790254376811,-0.2504138084214774,-0.239278908555383,-0.04707546139170889,-0.1960918454369922,-0.15472414674960738,-0.0025351669487444495,-0.07258907869055453,0.007020243518448966,0.11419700668053463,-0.19626737838447753,-0.15971949191782064,-0.2350166219647412,-0.07609196533556348,0.05863008128265402,0.21360407066472992,-0.019277386145747148,-0.04630246348983872,0.07771367171322337,-0.11504911386340516,-0.12020689559498685,-0.053217315946000474,-0.10586509005281151,-0.0688973327610021,-0.125215953170407,-0.183248599454197,-0.15681420116852948,-0.02315566120554821,-0.10142009244984619,-0.10786842246566528,-0.012300503358904126,-0.18819095666300797,-0.17418181202486813,-0.2361786333431167,-0.2727668503772534,-0.23805515940680627,-0.14753875340543576,-0.10735150558265762,-0.12878512345805304,-0.17934921215904065,-0.213191034940282,-0.15046750230441938,-0.18477613659585737,0.10376700229627381,0.40257768186012427,0.3265277377567465,0.2688908065187231,-0.06364294174297529,-0.16963959074928778
Year,0.0002844076589815826,1.0,0.0007138102798731095,0.046188629701693684,0.23240014941917173,0.3882494189623007,0.14204224021292136,0.2423947235253226,0.3754234199293079,-0.22403192168446198,-0.10819696855571778,0.1412846905377933,-0.03437782053231065,0.0071939043052773105,0.07845135280035322,-0.1356458971954728,-0.06776713432353342,0.1768280536299398,-0.05162888437234086,0.08517126846273057,0.23511482050305768,0.0932985673291303,0.23958811002595748,0.3938660653066719,-0.060060233087026356,-0.00624410483252184,0.022799343242821943,-0.22189001801239436,-0.071135423674955,0.20132587039767338,0.016962205610628247,0.09390730546831964,0.20048915903458733,0.06492538140739489,0.08519614921205997,0.13703525214121592,-0.010653630417951789,0.1643794460977781,0.2925293304366121,-0.03376377169075483,0.03743464182072237,0.29473712367651167,0.017959866107507414,0.12621862360610944,0.26395241200548153,0.15371392313854895,0.17956036256625996,0.34651562857117124,-0.058498656273689636,0.0033290502893724085,0.11606648934061424,0.05413563806545724,0.098197729683036,0.1508383038552145,-0.13788741575732838,-0.07630074355165545,0.18459362515785827,0.07670798248125678,0.10101915633480471,0.3819471259963648,0.23572130064206603,0.22688585076979162,0.3689162480011828,0.1081592605646074,0.2154683154059669,0.2639980429004111,0.09521118087171311,0.13017554709862986,0.09954772726596771,0.05265073658388859,0.1592707141945156,0.16065505591952411,0.17562065907841382,0.18000108479168658,0.20746923687212188,0.1458511836795379,0.10671953907114573,-0.009554273840719479
State Code,0.32473012099622733,0.0007138102798731095,1.0,0.06348121148749487,0.035622389261797845,0.058224168512153014,-0.13408580527125874,-0.09098183699839107,-0.1128441043208049,-0.1696138554210058,-0.1614249792307231,-0.31625125475592614,-0.11161138556290083,-0.13020569753375,-0.22521499133170003,-0.17144140697140473,-0.18672974399048756,-0.31211637623134575,-0.10347520106080368,-0.13276775408866517,-0.22666727184550578,-0.061728062152878745,-0.06632842282047148,-0.16714067107002115,-0.15271323398121492,-0.14174120452061761,-0.11758390249577721,0.03571785826338349,0.03904007318224946,0.07923643298932125,-0.17187783577865837,-0.1694130668165532,-0.1194375994923314,-0.16154807686173106,-0.14119460962145525,-0.1218343754617587,-0.1452787788350134,-0.13101827781045897,0.04255504454099082,-0.26615814880551847,-0.21307630606585218,-0.22480675788002435,-0.1111809236139414,-0.10222667401866713,-0.13789986256976686,-0.013567234822780093,-0.03881822033323416,-0.08145902577280495,-0.10060332032525325,-0.08934918264255681,-0.06652252756015603,-0.009376739594828936,-0.11497392895452037,-0.2812297850889105,-0.0715936926129172,-0.12419767567680685,-0.09213284224678152,-0.12355094539116333,-0.13200359950810428,-0.010307075418143593,-0.14036638097291315,-0.12702652211651996,-0.056072460727323754,-0.2721153084507752,-0.26808070647629395,-0.1988759425091883,-0.02348366055372683,-0.04003014975144529,-0.28522303821805856,-0.21078610799600486,-0.16442992464447426,-0.18209613187404272,-0.03548524853676821,0.050549452324451113,0.017880500581451887,0.09017133225423295,-0.12609535987940557,-0.1077711968485808
RICE AREA (1000 ha),0.37866795052763674,0.046188629701693684,0.06348121148749487,1.0,0.8325153171810175,0.22006627001284998,0.013339184885079609,0.06700015400832027,-0.012562940705932571,-0.2683720155939498,-0.22028519976533043,-0.1103337954513522,-0.12255582182114383,-0.12099944995049526,-0.012542395101520614,-0.22784499981848144,-0.22071502855479883,-0.04940005722515121,-0.23014043515443852,-0.20538278690448777,-0.0982040375319685,-0.06542796108850983,-0.007391204947077978,0.11646757308518496,-0.006753574248859336,-0.033353190252918795,0.11356257918932806,-0.10334184268660289,-0.13014457808237934,-0.13662556843916954,-0.19953784513522307,-0.18627369116598563,0.03219925190378443,-0.1037864204562288,-0.08773893052144992,0.13080547114799276,0.15850856598796628,0.20464002151978086,0.08827174725591656,-0.10161701755795816,-0.059693896063528325,0.10384552271854222,0.009244367695896127,0.15799977249619568,0.20560859849342505,-0.06013613684456994,-0.08651845958623039,0.027779840150626556,-0.11893129111403515,-0.11500717950522368,0.024138395010995677,-0.052777358261325326,-0.0769196324795085,-0.089405581804561,0.14199360287803298,0.08721723177920217,-0.007501961875172302,-0.05462900854297086,-0.045353049732119656,0.15445517044193513,-0.16332484120180274,-0.1534373224379262,-0.13642201890668745,-0.1881537498440128,-0.1456217983159234,0.04567629771451509,-0.009259409990067972,-0.015921735436771535,0.12999167230021139,-0.1544844494996405,-0.06823978767222105,-0.014126121375771194,0.1829957313629049,0.4132300264917001,0.37677801963891083,0.2646695393424954,-0.020064715220941703,-0.16938486668617414
RICE PRODUCTION (1000 tons),0.2306983212990377,0.23240014941917173,0.035622389261797845,0.8325153171810175,1.0,0.5297650987533032,0.1384333508740328,0.26587287059324716,0.10756617652056782,-0.23302729913138287,-0.18669281791109268,-0.0825402581982474,-0.10580555072342737,-0.09265037039940112,0.11802555201119944,-0.19729522331030175,-0.180995124904545,0.00011472475963106676,-0.19025048698227373,-0.1565390892953867,0.033150255718557606,-0.08333848124618937,0.050791251114807194,0.2951584259884141,-0.015384267786011471,-0.013109900649052207,0.14403184884667852,-0.14498934077637712,-0.11751299218118823,-0.05402598771618142,-0.19715880676660116,-0.1672709448889622,0.06270082873942419,-0.09868452116085147,-0.09150550200481651,0.11247875355101293,0.06135971319806365,0.162372041579758,0.1657130655691874,-0.05595288552983414,-0.005286568149482006,0.22344802915569834,0.025261581272820993,0.20963224052584778,0.25526962092072014,-0.037700619590809975,-0.045104691807842684,0.09106694098358975,-0.10650202577430441,-0.09367843033200414,0.03114690871574549,-0.02645701918727953,-0.059876622753557054,-0.06602323372146744,-0.013167891324807498,-0.025736199656691675,-0.030759095077597956,-0.017301751064497824,0.00671073322804883,0.30258157733751,-0.14508428090416084,-0.13368562188576005,-0.1163557876018054,-0.15068017787815316,-0.07034580896752986,0.18908216404856348,0.038326171581769465,0.05404955559226249,0.26238773339856847,-0.06639211555335504,0.04399355295418299,0.1310485700084367,0.26358187460916904,0.3981579782662787,0.4087240395438138,0.29144167028478724,-0.021260483486063266,-0.09844463754949175
RICE YIELD (Kg per ha),-0.007322344583007734,0.3882494189623007,0.058224168512153014,0.22006627001284998,0.5297650987533032,1.0,0.18128273723986385,0.332174521572608,0.1510189798159506,-0.1931816375490508,-0.12227457771541872,0.06408820304563957,-0.04436200143448971,-0.003825039172032573,0.23198213582484728,-0.12887885846859112,-0.0839278254507399,0.10545883307186983,-0.2255312714102216,-0.08809262215232866,0.224018377289039,-0.03604827529111041,0.15184806976478823,0.433161972832639,0.1461320385637663,0.18762634944798742,0.3064426711580051,-0.1721156894133013,-0.08193409129313861,0.022384930083854417,-0.16479033862832884,-0.11971361837625459,0.048525405033792934,-0.06568285228405005,-0.07146663587384061,0.0820475671544446,-0.18539144514079062,-0.02205952474029005,0.19501953284013715,0.0380322596738773,0.058310013610010265,0.2312191637991197,-0.12634084495577758,0.013940060584885944,0.2106425711404927,0.02456274528288446,0.05929101172291326,0.07294712265016749,-0.08117715802593842,-0.0593777681516978,0.015311286648656648,0.006127923422506272,-0.03707600705799002,-0.019912853915405756,-0.18270956569150454,-0.1791816434271154,-0.08031554171136242,0.08528701846229074,0.12653899208108157,0.39595271758335043,-0.15508044669839124,-0.13066757879285834,-0.05418315377624595,-0.0732360661084929,0.0018666974328399866,0.2373571270585654,0.18190753464506598,0.21886166459900425,0.38939201885569713,-0.020700285340498753,0.08334628622842903,0.1636038425591696,0.3188332777278523,0.18559762162323626,0.2942747169056375,0.14674565895112804,0.015163782476833705,-0.06151194976182226
WHEAT AREA (1000 ha),-0.10957983764797327,0.14204224021292136,-0.13408580527125874,0.013339184885079609,0.1384333508740328,0.18128273723986385,1.0,0.9106426278224172,0.6173605530187498,-0.09399602727525608,-0.09135719808295165,0.05147834924705983,-0.07941680348303531,-0.09121296911315194,-0.21641896086760115,-0.10818267225471859,-0.1155461335625118,0.06450103574535307,0.01739936854005566,0.1460270622232418,0.3243526154683854,0.09413181559498092,0.027980748170726603,-0.020727243432429515,-0.19014853575438784,-0.17041970036228238,-0.2849165438542145,0.265555490188291,0.34410422607169266,0.5835555946874741,0.2612357846328961,0.27627607695921536,0.219226467655643,-0.06396732379342575,0.0014420836243182707,0.30790952175575875,-0.11535679731682201,-0.016845938725247627,0.13371269249291554,-0.15619535974216178,-0.13099035226835107,-0.06046543677455438,-0.10999504441015549,-0.11821815770131558,-0.042740981333220684,0.268671327206669,0.2762114473097267,0.46771690234798674,-0.051152758617285715,-0.04303666107391305,-0.14271446680585503,-0.07262338976425119,-0.022128616571970353,-0.15141143987045536,0.024005439476244884,0.0870600866587067,0.23065290633865285,-0.06387020048035928,-0.06221073845027287,0.16292860911554513,0.0979685925555738,0.09446250857566174,0.020703891305852557,-0.03688864578767183,0.041203621825860015,0.060025681716813974,0.2048596919944903,0.13622816963000262,-0.002340963549609047,0.10215465884321354,0.2121315744308114,0.023902451700584994,-0.1829810976033405,-0.053933156437886424,-0.1291240638442593,0.14646672610125794,-0.0463025207928165,0.1891795625828667
WHEAT PRODUCTION (1000 tons),-0.09033307797996316,0.2423947235253226,-0.09098183699839107,0.06700015400832027,0.26587287059324716,0.332174521572608,0.9106426278224172,1.0,0.686861674335998,-0.13497735804202438,-0.11812083182677163,-0.0058996886418331935,-0.09433928629535507,-0.10038926882853179,-0.1610277293892182,-0.13971112557220003,-0.1388401712240879,0.016235151180374083,0.020289930306162583,0.16878898332037842,0.31929345527633873,0.02719735351779134,0.012730188970073579,0.04065006943474464,-0.13780981789679347,-0.12126400739265579,-0.2292474315354751,0.15667154860280286,0.29991319223231233,0.5622206386552159,0.11966737902865435,0.15942568497212725,0.19240908015468614,-0.09053613530051517,-0.03945665796564824,0.23043675350183385,-0.13320188402654862,-0.023535915889129636,0.19776381930209874,-0.11616410412942803,-0.0845229737005679,-0.03273082961400362,-0.09906393983852076,-0.08315711136569996,0.0015056234729365692,0.29697088647641184,0.3279214553011778,0.4883942143889224,-0.07479002434240341,-0.06013406551870603,-0.1229794640997656,-0.04627677140962114,-0.008486525879753827,-0.10561091407763289,-0.07672287319356025,-0.042569778724659744,0.12596238510548924,-0.059530164408166865,-0.048152713958373485,0.1963103656801351,0.06679709837045561,0.07077826098517861,-0.004997711962592666,-0.021644891066397543,0.0801075558616944,0.13131486584922641,0.16698847564928473,0.1263456077840532,0.06528848735421146,0.14177286744187736,0.288687904086804,0.12387509628091509,-0.10988652990701074,-0.019072213333120588,-0.0680210367114331,0.13363134261899187,-0.050841976461905275,0.20038161492765816
WHEAT YIELD (Kg per ha),0.01890316778543692,0.3754234199293079,-0.1128441043208049,-0.012562940705932571,0.10756617652056782,0.1510189798159506,0.6173605530187498,0.686861674335998,1.0,-0.16184389347259398,-0.12400702723034823,0.015860946223341544,-0.13246502656750594,-0.13253035486274856,-0.23306944661192053,-0.18189338785085848,-0.16133517851057624,0.0291822358478149,0.09877870990226517,0.2433099327471948,0.31621461747196333,0.09655291371547865,0.05479676470787029,0.05217900216989287,-0.18848055296420957,-0.18313394258480026,-0.3698661416718834,0.10353841511600448,0.23181186447932156,0.5985009832403578,0.08808871646205339,0.15679125381237238,0.2984065105013131,-0.10103509498482416,-0.016824534549260514,0.2793963865930582,-0.09301391095900477,0.039899856426989656,0.2621233454609185,-0.07668041734197627,-0.027866208279887606,0.05162648145827741,-0.007947134565403094,0.06508765614277953,0.0810415018104546,0.34603130762486106,0.35385315365119807,0.7057121494749695,-0.10854606061522129,-0.07757521339564882,-0.0904118941138304,0.0057173015496960805,0.09751041730721258,0.050925824738716485,-0.1515084236503622,-0.10039686914243502,0.2206671304576423,-0.09717053193045326,-0.08766775133835909,0.1830093708881337,0.1309945299893417,0.14129369341078724,0.14239833278353745,0.01977723034500376,0.1613977256187196,0.1748334438613571,0.16061188243599325,0.12084018040907114,0.050306116013886494,0.04197295215303534,0.15748811108104932,0.08857328350955733,-0.276486982642088,0.07657425602833624,-0.09363960240116084,0.23506821070086006,-0.016448947831258536,0.17518550961348744
KHARIF SORGHUM AREA (1000 ha),-0.30243429050192167,-0.22403192168446198,-0.1696138554210058,-0.2683720155939498,-0.23302729913138287,-0.1931816375490508,-0.09399602727525608,-0.13497735804202438,-0.16184389347259398,1.0,0.8571784323298016,0.20224682073212336,0.19171376232599102,0.20990441034709828,0.1651694007940247,0.6380993768481589,0.7025344312489419,0.1580477582745755,0.07857459466908516,0.05429926715546356,0.02783165084549931,-0.0365325105040039,-0.05086355551561278,-0.04719645994803609,0.0056345959643460865,0.003850744737854429,-0.03989293856584031,-0.036391252301980745,-0.03453359698171701,-0.1499095819860972,0.11055899928516018,0.05424435245797095,-0.061250203944006334,0.33065592337075916,0.2562394770752385,-0.04273902177555075,0.1830957851741581,0.06518289063824499,-0.11463019366583418,0.17689539277408245,0.09850004072970107,0.013023003932197035,0.15718995209840356,0.05036638791114568,-0.07114554043904034,-0.05139601274035676,-0.038957331374325645,-0.20844485293879958,0.3502222516163432,0.31770018027034197,0.23429447883236454,0.11235686196220683,0.008409490080877734,0.058552469825886334,0.1635335182201003,0.1762114289302497,0.06124015180819789,0.12929327285966782,0.1336024157504067,-0.06289116954969476,0.05420039682704418,0.04656855609084085,0.05096394656341797,0.24879128656813485,0.11304238688459406,-0.022350714157758154,-0.04446641232155359,-0.016992827908267102,0.186104072761771,0.41115575784421104,0.0971334431996971,0.04222965362644577,-0.08556109517797479,-0.15178508904291474,-0.14759226821347077,-0.15478793557420437,0.048277422296839935,-0.010756690254689567
