feature_1,feature_2,correlation,abs_correlation
SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),0.960855406064995,0.960855406064995
RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),0.9503662072406484,0.9503662072406484
SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),0.9373984510062489,0.9373984510062489
SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),0.9326099643366808,0.9326099643366808
FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),0.9258308859360679,0.9258308859360679
RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),0.917530479894497,0.917530479894497
CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),0.9119971581254444,0.9119971581254444
WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),0.9106426278224172,0.9106426278224172
KHARIF SORGHUM YIELD (Kg per ha),SORGHUM YIELD (Kg per ha),0.8906134373020261,0.8906134373020261
LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),0.8883226345666491,0.8883226345666491
SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),0.8819740609943699,0.8819740609943699
RABI SORGHUM AREA (1000 ha),SORGHUM AREA (1000 ha),0.8775629072029277,0.8775629072029277
SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),0.873048925028872,0.873048925028872
BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),0.8684694613274457,0.8684694613274457
PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),0.8615005699012301,0.8615005699012301
VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),0.8584343956023732,0.8584343956023732
KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),0.8571784323298016,0.8571784323298016
GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),0.8329914884588425,0.8329914884588425
RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),0.8325153171810175,0.8325153171810175
RABI SORGHUM PRODUCTION (1000 tons),SORGHUM AREA (1000 ha),0.8217542850847367,0.8217542850847367
KHARIF SORGHUM PRODUCTION (1000 tons),SORGHUM PRODUCTION (1000 tons),0.8184962671753492,0.8184962671753492
OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),0.8137605648477795,0.8137605648477795
MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),0.8020030872352768,0.8020030872352768
COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),0.789781292050565,0.789781292050565
SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),0.7783032611787248,0.7783032611787248
CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),0.7723914585918428,0.7723914585918428
FRUITS AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),0.7586769274355492,0.7586769274355492
MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),0.7568891963613371,0.7568891963613371
RABI SORGHUM PRODUCTION (1000 tons),SORGHUM PRODUCTION (1000 tons),0.7548703484376167,0.7548703484376167
SORGHUM AREA (1000 ha),SAFFLOWER AREA (1000 ha),0.7172814383311855,0.7172814383311855
WHEAT YIELD (Kg per ha),RAPESEED AND MUSTARD YIELD (Kg per ha),0.7057121494749695,0.7057121494749695
KHARIF SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),0.7025344312489419,0.7025344312489419
RABI SORGHUM AREA (1000 ha),SAFFLOWER AREA (1000 ha),0.6968511280242645,0.6968511280242645
PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),0.6916657926261218,0.6916657926261218
WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),0.686861674335998,0.686861674335998
RABI SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),0.675699992181053,0.675699992181053
GROUNDNUT AREA (1000 ha),OILSEEDS AREA (1000 ha),0.655231397407332,0.655231397407332
SORGHUM PRODUCTION (1000 tons),SAFFLOWER AREA (1000 ha),0.6461055202618297,0.6461055202618297
RABI SORGHUM PRODUCTION (1000 tons),SAFFLOWER AREA (1000 ha),0.6438904767564779,0.6438904767564779
KHARIF SORGHUM AREA (1000 ha),SORGHUM AREA (1000 ha),0.6380993768481589,0.6380993768481589
SORGHUM PRODUCTION (1000 tons),SAFFLOWER PRODUCTION (1000 tons),0.6213997106564191,0.6213997106564191
WHEAT AREA (1000 ha),WHEAT YIELD (Kg per ha),0.6173605530187498,0.6173605530187498
SORGHUM AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),0.6169700977409874,0.6169700977409874
