column,missing_count,missing_percent
Dist Code,0,0.0
Year,0,0.0
LINSEED YIELD (Kg per ha),0,0.0
LINSEED PRODUCTION (1000 tons),0,0.0
LINSEED AREA (1000 ha),0,0.0
CASTOR YIELD (Kg per ha),0,0.0
CASTOR PRODUCTION (1000 tons),0,0.0
CASTOR AREA (1000 ha),0,0.0
SAFFLOWER YIELD (Kg per ha),0,0.0
SAFFLOWER PRODUCTION (1000 tons),0,0.0
SAFFLOWER AREA (1000 ha),0,0.0
RAPESEED AND MUSTARD YIELD (Kg per ha),0,0.0
RAPESEED AND MUSTARD PRODUCTION (1000 tons),0,0.0
RAPESEED AND MUSTARD AREA (1000 ha),0,0.0
SESAMUM YIELD (Kg per ha),0,0.0
SESAMUM PRODUCTION (1000 tons),0,0.0
SESAMUM AREA (1000 ha),0,0.0
GROUNDNUT YIELD (Kg per ha),0,0.0
GROUNDNUT PRODUCTION (1000 tons),0,0.0
SUNFLOWER AREA (1000 ha),0,0.0
SUNFLOWER PRODUCTION (1000 tons),0,0.0
SUNFLOWER YIELD (Kg per ha),0,0.0
COTTON AREA (1000 ha),0,0.0
ONION AREA (1000 ha),0,0.0
POTATOES AREA (1000 ha),0,0.0
FRUITS AND VEGETABLES AREA (1000 ha),0,0.0
VEGETABLES AREA (1000 ha),0,0.0
FRUITS AREA (1000 ha),0,0.0
COTTON YIELD (Kg per ha),0,0.0
COTTON PRODUCTION (1000 tons),0,0.0
SUGARCANE YIELD (Kg per ha),0,0.0
SOYABEAN AREA (1000 ha),0,0.0
SUGARCANE PRODUCTION (1000 tons),0,0.0
SUGARCANE AREA (1000 ha),0,0.0
OILSEEDS YIELD (Kg per ha),0,0.0
OILSEEDS PRODUCTION (1000 tons),0,0.0
OILSEEDS AREA (1000 ha),0,0.0
SOYABEAN YIELD (Kg per ha),0,0.0
SOYABEAN PRODUCTION (1000 tons),0,0.0
GROUNDNUT AREA (1000 ha),0,0.0
MINOR PULSES YIELD (Kg per ha),0,0.0
MINOR PULSES PRODUCTION (1000 tons),0,0.0
WHEAT YIELD (Kg per ha),0,0.0
SORGHUM AREA (1000 ha),0,0.0
RABI SORGHUM YIELD (Kg per ha),0,0.0
RABI SORGHUM PRODUCTION (1000 tons),0,0.0
RABI SORGHUM AREA (1000 ha),0,0.0
KHARIF SORGHUM YIELD (Kg per ha),0,0.0
KHARIF SORGHUM PRODUCTION (1000 tons),0,0.0
KHARIF SORGHUM AREA (1000 ha),0,0.0
WHEAT PRODUCTION (1000 tons),0,0.0
SORGHUM YIELD (Kg per ha),0,0.0
WHEAT AREA (1000 ha),0,0.0
RICE YIELD (Kg per ha),0,0.0
RICE PRODUCTION (1000 tons),0,0.0
RICE AREA (1000 ha),0,0.0
Dist Name,0,0.0
State Name,0,0.0
State Code,0,0.0
SORGHUM PRODUCTION (1000 tons),0,0.0
PEARL MILLET AREA (1000 ha),0,0.0
MINOR PULSES AREA (1000 ha),0,0.0
BARLEY PRODUCTION (1000 tons),0,0.0
PIGEONPEA YIELD (Kg per ha),0,0.0
PIGEONPEA PRODUCTION (1000 tons),0,0.0
PIGEONPEA AREA (1000 ha),0,0.0
CHICKPEA YIELD (Kg per ha),0,0.0
CHICKPEA PRODUCTION (1000 tons),0,0.0
CHICKPEA AREA (1000 ha),0,0.0
BARLEY YIELD (Kg per ha),0,0.0
BARLEY AREA (1000 ha),0,0.0
PEARL MILLET PRODUCTION (1000 tons),0,0.0
FINGER MILLET YIELD (Kg per ha),0,0.0
FINGER MILLET PRODUCTION (1000 tons),0,0.0
FINGER MILLET AREA (1000 ha),0,0.0
MAIZE YIELD (Kg per ha),0,0.0
MAIZE PRODUCTION (1000 tons),0,0.0
MAIZE AREA (1000 ha),0,0.0
PEARL MILLET YIELD (Kg per ha),0,0.0
FODDER AREA (1000 ha),0,0.0
