column,count,missing,mean,std,min,max
Dist Code,16146,0,269.7692307692308,278.30050609533123,1.0,917.0
Year,16146,0,1991.4968413229283,15.01071985524272,1966.0,2017.0
State Code,16146,0,9.568561872909699,4.98838364468052,1.0,20.0
RICE AREA (1000 ha),16146,0,128.59319150253933,160.07386791130628,-1.0,1154.23
RICE PRODUCTION (1000 tons),16146,0,224.88956459804288,326.6197129133848,-1.0,3215.01
RICE YIELD (Kg per ha),16146,0,1486.9247838473927,956.1556698075418,-1.0,5653.83
WHEAT AREA (1000 ha),16146,0,77.05794562120649,100.39136983769586,-1.0,879.49
WHEAT PRODUCTION (1000 tons),16146,0,182.01274557165863,348.8234511738725,-1.0,4305.5
WHEAT YIELD (Kg per ha),16146,0,1492.4198587885544,1081.221883190562,-1.0,5541.52
KHARIF SORGHUM AREA (1000 ha),16146,0,22.632268054007184,45.06131880318106,-1.0,334.8
KHARIF SORGHUM PRODUCTION (1000 tons),16146,0,18.358094264833394,44.452252875659454,-1.0,604.7
KHARIF SORGHUM YIELD (Kg per ha),16146,0,586.031073330856,559.2285557333616,-1.0,6531.25
RABI SORGHUM AREA (1000 ha),16146,0,17.386122259383125,72.36612283594181,-1.0,835.0
RABI SORGHUM PRODUCTION (1000 tons),16146,0,10.003390932738757,38.99256211573831,-1.0,464.6
RABI SORGHUM YIELD (Kg per ha),16146,0,225.6357630372848,550.7449906082757,-1.0,10000.0
SORGHUM AREA (1000 ha),16146,0,40.15010466988728,92.27245076996948,-1.0,836.7
SORGHUM PRODUCTION (1000 tons),16146,0,28.461352657004827,65.8575634543468,-1.0,692.2
SORGHUM YIELD (Kg per ha),16146,0,586.0935612535613,547.0270560027384,-1.0,5742.59
PEARL MILLET AREA (1000 ha),16146,0,33.19569367025889,90.79297880352532,-1.0,1174.0
PEARL MILLET PRODUCTION (1000 tons),16146,0,22.125087328130807,59.99261800428847,-1.0,826.82
PEARL MILLET YIELD (Kg per ha),16146,0,517.9170933977456,587.5406517089557,-1.0,10000.0
MAIZE AREA (1000 ha),16146,0,20.122120029728727,34.81600180645253,-1.0,295.0
MAIZE PRODUCTION (1000 tons),16146,0,36.05321317973492,81.78686653628212,-1.0,1510.95
MAIZE YIELD (Kg per ha),16146,0,1408.7632181345225,1191.6577228535998,-1.0,21428.57
FINGER MILLET AREA (1000 ha),16146,0,6.247759816672859,22.0673716728463,-1.0,261.0
FINGER MILLET PRODUCTION (1000 tons),16146,0,7.110997150997151,29.040410435886894,-1.0,459.98
FINGER MILLET YIELD (Kg per ha),16146,0,354.84911557041994,572.8680592924396,-1.0,9286.86
BARLEY AREA (1000 ha),16146,0,4.171438746438746,10.278307817876875,-1.0,137.7
BARLEY PRODUCTION (1000 tons),16146,0,5.882635946983773,16.05045394630487,-1.0,361.59
BARLEY YIELD (Kg per ha),16146,0,734.2463650439738,949.4667519306686,-1.0,14441.86
CHICKPEA AREA (1000 ha),16146,0,23.866339031339034,46.424274057812475,-1.0,665.2
CHICKPEA PRODUCTION (1000 tons),16146,0,18.046505016722406,37.46076237833317,-1.0,563.1
CHICKPEA YIELD (Kg per ha),16146,0,630.8181865477518,655.5668293766365,-1.0,58363.64
PIGEONPEA AREA (1000 ha),16146,0,10.480132540567322,23.661324896496655,-1.0,480.89
PIGEONPEA PRODUCTION (1000 tons),16146,0,7.436632602502168,17.85425112380206,-1.0,618.53
PIGEONPEA YIELD (Kg per ha),16146,0,618.0201690821256,496.9163174941167,-1.0,12402.6
MINOR PULSES AREA (1000 ha),16146,0,41.461085717824844,58.32596249777982,-1.0,698.55
MINOR PULSES PRODUCTION (1000 tons),16146,0,16.665397002353526,27.801503197243413,-1.0,404.31
MINOR PULSES YIELD (Kg per ha),16146,0,453.63263408893846,499.8028201927528,-1.0,18888.89
GROUNDNUT AREA (1000 ha),16146,0,22.439888517279822,62.21865629082173,-1.0,899.04
GROUNDNUT PRODUCTION (1000 tons),16146,0,22.0306856187291,68.62740744864364,-1.0,1688.11
GROUNDNUT YIELD (Kg per ha),16146,0,765.9476520500434,627.6943812054233,-1.0,8500.0
SESAMUM AREA (1000 ha),16146,0,6.1045584045584045,12.308701905768446,-1.0,181.93
SESAMUM PRODUCTION (1000 tons),16146,0,1.870780998389694,4.531708247341127,-1.0,74.9
SESAMUM YIELD (Kg per ha),16146,0,264.72900966183573,231.25482692154043,-1.0,6625.0
RAPESEED AND MUSTARD AREA (1000 ha),16146,0,12.968988603988604,35.28864863302497,-1.0,466.22
RAPESEED AND MUSTARD PRODUCTION (1000 tons),16146,0,12.400292332466245,43.478545679733095,-1.0,787.38
RAPESEED AND MUSTARD YIELD (Kg per ha),16146,0,497.9536293818903,460.52778670436936,-1.0,10000.0
SAFFLOWER AREA (1000 ha),16146,0,1.7601331599157686,9.188188193547798,-1.0,147.6
SAFFLOWER PRODUCTION (1000 tons),16146,0,0.6892394401090053,4.33428687062175,-1.0,83.0
SAFFLOWER YIELD (Kg per ha),16146,0,73.04831846897063,204.3801364896554,-1.0,4166.67
CASTOR AREA (1000 ha),16146,0,2.188699368264586,11.865939517883193,-1.0,234.89
CASTOR PRODUCTION (1000 tons),16146,0,2.209564598042859,16.46716901134814,-1.0,450.33
CASTOR YIELD (Kg per ha),16146,0,215.40571101201536,439.10059375701246,-1.0,4600.0
LINSEED AREA (1000 ha),16146,0,2.4488195218630002,7.471033880936312,-1.0,120.7
LINSEED PRODUCTION (1000 tons),16146,0,0.6875665799578843,1.8704945305612541,-1.0,28.7
LINSEED YIELD (Kg per ha),16146,0,175.5480707295925,271.8594824784077,-1.0,7000.0
SUNFLOWER AREA (1000 ha),16146,0,3.008939056112969,18.7334592351963,-1.0,476.67
SUNFLOWER PRODUCTION (1000 tons),16146,0,1.5915700483091788,8.431855826889473,-1.0,222.67
SUNFLOWER YIELD (Kg per ha),16146,0,278.4496952805648,503.4995414922685,-1.0,4282.05
SOYABEAN AREA (1000 ha),16146,0,13.66879660597052,53.51099970523457,-1.0,529.6
SOYABEAN PRODUCTION (1000 tons),16146,0,13.94646104298278,58.58878991689176,-1.0,940.8
SOYABEAN YIELD (Kg per ha),16146,0,242.9606546513068,467.4370518898095,-1.0,3884.06
OILSEEDS AREA (1000 ha),16146,0,66.74002353524092,94.03083755770885,-1.0,951.24
OILSEEDS PRODUCTION (1000 tons),16146,0,50.90982162764772,99.83094559780776,-1.0,1712.92
OILSEEDS YIELD (Kg per ha),16146,0,593.6596246748421,673.2591769923877,-1.0,25500.0
SUGARCANE AREA (1000 ha),16146,0,11.905850984764028,29.589232132297024,-1.0,342.41
SUGARCANE PRODUCTION (1000 tons),16146,0,75.51177691068995,198.80984072385263,-1.0,3252.9
SUGARCANE YIELD (Kg per ha),16146,0,4500.153060200669,3153.8727481086426,-1.0,22062.3
COTTON AREA (1000 ha),16146,0,28.018367397497833,74.23734938784234,-1.0,800.89
COTTON PRODUCTION (1000 tons),16146,0,7.22922519509476,25.04135693738266,-1.0,376.61
COTTON YIELD (Kg per ha),16146,0,124.64482348569305,207.67471526582722,-1.0,5000.0
FRUITS AREA (1000 ha),16146,0,7.750477517651431,13.59071431424985,-1.0,159.54
VEGETABLES AREA (1000 ha),16146,0,11.086249845162888,18.0026998605364,-1.0,200.06
FRUITS AND VEGETABLES AREA (1000 ha),16146,0,18.677876873529048,25.881040277974463,-1.0,240.99
POTATOES AREA (1000 ha),16146,0,3.177038275733928,8.029259967800153,-1.0,111.61
ONION AREA (1000 ha),16146,0,1.194603616994921,4.284934044036835,-1.0,131.35
FODDER AREA (1000 ha),16146,0,21.550327635327633,60.06074122711175,-1.0,1162.66
