column,q1,q3,iqr,sample_outliers,outlier_percent
Dist Code,78.0,241.0,163.0,3878,24.018332713984886
Year,1978.0,2005.0,27.0,0,0.0
State Code,6.0,12.0,6.0,0,0.0
RICE AREA (1000 ha),10.4,191.39000000000001,180.99,719,4.4531153226805404
RICE PRODUCTION (1000 tons),9.459999999999999,315.71500000000003,306.25500000000005,1016,6.2925802056236835
RICE YIELD (Kg per ha),800.0,2113.5175,1313.5175,175,1.0838597795119533
WHEAT AREA (1000 ha),1.77,123.0,121.23,511,3.164870556174904
WHEAT PRODUCTION (1000 tons),2.0,215.1925,213.1925,1602,9.92196209587514
WHEAT YIELD (Kg per ha),750.0,2131.58,1381.58,293,1.8146909451257278
KHARIF SORGHUM AREA (1000 ha),0.0,20.9,20.9,2387,14.783847392543045
KHARIF SORGHUM PRODUCTION (1000 tons),0.0,14.1,14.1,2327,14.412238325281804
KHARIF SORGHUM YIELD (Kg per ha),0.0,962.25,962.25,112,0.6936702588876502
RABI SORGHUM AREA (1000 ha),0.0,0.01,0.01,4040,25.02167719559024
RABI SORGHUM PRODUCTION (1000 tons),0.0,0.0,0.0,0,0.0
RABI SORGHUM YIELD (Kg per ha),0.0,0.0,0.0,0,0.0
SORGHUM AREA (1000 ha),0.0,30.4,30.4,2506,15.520872042611174
SORGHUM PRODUCTION (1000 tons),0.0,19.544999999999998,19.544999999999998,2482,15.372228415706676
SORGHUM YIELD (Kg per ha),0.0,932.3075,932.3075,135,0.8361204013377926
PEARL MILLET AREA (1000 ha),0.0,16.5,16.5,2971,18.400842313885793
PEARL MILLET PRODUCTION (1000 tons),0.0,12.0,12.0,2742,16.98253437383872
PEARL MILLET YIELD (Kg per ha),0.0,870.955,870.955,233,1.4430818778644865
MAIZE AREA (1000 ha),0.53,24.5,23.97,1576,9.760931500061934
MAIZE PRODUCTION (1000 tons),0.6,33.3,32.699999999999996,1941,12.021553325901152
MAIZE YIELD (Kg per ha),696.8900000000001,1863.64,1166.75,718,4.446921838226186
FINGER MILLET AREA (1000 ha),0.0,0.9,0.9,3205,19.850117676204633
FINGER MILLET PRODUCTION (1000 tons),0.0,0.6,0.6,3363,20.828688219992568
FINGER MILLET YIELD (Kg per ha),0.0,692.295,692.295,466,2.886163755728973
BARLEY AREA (1000 ha),0.0,3.2575,3.2575,2329,14.42462529419051
BARLEY PRODUCTION (1000 tons),0.0,4.1175,4.1175,2390,14.802427845906108
BARLEY YIELD (Kg per ha),0.0,1250.0,1250.0,393,2.4340393905611295
CHICKPEA AREA (1000 ha),0.3,28.6,28.3,1495,9.25925925925926
CHICKPEA PRODUCTION (1000 tons),0.17,18.9,18.729999999999997,1824,11.296915644741732
CHICKPEA YIELD (Kg per ha),384.62,880.7325,496.11249999999995,227,1.4059209711383625
PIGEONPEA AREA (1000 ha),0.2,11.5,11.3,1385,8.577975969280317
PIGEONPEA PRODUCTION (1000 tons),0.1,7.7,7.6000000000000005,1580,9.78570543787935
