column,value,sample_count,sample_percent
State_Name,Haryana,5875,64.93147656940761
State_Name,Punjab,3173,35.06852343059239
District_Name,KARNAL,334,3.6914235190097258
District_Name,YAMUNANAGAR,326,3.603006189213086
District_Name,PANCHKULA,325,3.5919540229885056
District_Name,AMBALA,320,3.5366931918656057
District_Name,PANIPAT,316,3.4924845269672855
District_Name,HISAR,313,3.4593280282935455
District_Name,SIRSA,312,3.4482758620689653
District_Name,SONIPAT,307,3.3930150309460654
District_Name,BHIWANI,306,3.381962864721485
District_Name,KAITHAL,305,3.3709106984969055
District_Name,FATEHABAD,302,3.3377541998231655
District_Name,KURUKSHETRA,290,3.2051282051282053
District_Name,GURGAON,285,3.149867374005305
District_Name,REWARI,285,3.149867374005305
District_Name,ROHTAK,278,3.072502210433245
District_Name,FARIDABAD,277,3.061450044208665
District_Name,JHAJJAR,270,2.9840848806366047
District_Name,JIND,265,2.928824049513705
District_Name,MAHENDRAGARH,246,2.7188328912466844
District_Name,SANGRUR,214,2.3651635720601236
District_Name,HOSHIARPUR,205,2.2656940760389035
District_Name,AMRITSAR,194,2.1441202475685235
District_Name,FIROZEPUR,192,2.1220159151193636
District_Name,PATIALA,186,2.055702917771883
District_Name,LUDHIANA,185,2.0446507515473034
District_Name,BATHINDA,184,2.033598585322723
District_Name,MUKTSAR,184,2.033598585322723
District_Name,MANSA,181,2.000442086648983
District_Name,RUPNAGAR,173,1.912024756852343
District_Name,JALANDHAR,171,1.889920424403183
Season,Kharif,4417,48.81741821396994
Season,Rabi,2944,32.53757736516357
Season,Whole Year,1687,18.64500442086649
Crop,Wheat,655,7.239168877099911
Crop,Rice,643,7.106542882404951
Crop,Rapeseed &Mustard,565,6.24447391688771
Crop,Sugarcane,522,5.769230769230769
Crop,Gram,516,5.702917771883289
Crop,Arhar/Tur,499,5.515030946065429
Crop,Maize,486,5.371352785145889
Crop,Cotton(lint),478,5.282935455349248
Crop,Sesamum,472,5.216622458001768
Crop,Barley,468,5.172413793103448
Crop,Moong(Green Gram),461,5.095048629531388
Crop,Bajra,379,4.188770999115826
Crop,Masoor,335,3.702475685234306
Crop,Peas & beans (Pulses),274,3.028293545534925
Crop,Urad,261,2.8846153846153846
Crop,Groundnut,250,2.7630415561450046
Crop,Potato,222,2.453580901856764
Crop,Onion,212,2.3430592396109637
Crop,Dry chillies,207,2.287798408488064
Crop,Jowar,204,2.2546419098143238
Crop,Sannhamp,127,1.4036251105216622
Crop,Moth,111,1.226790450928382
Crop,Guar seed,104,1.1494252873563218
Crop,Sunflower,102,1.1273209549071619
Crop,Garlic,87,0.9615384615384616
Crop,Sweet potato,71,0.7847038019451813
Crop,Horse-gram,50,0.5526083112290009
Crop,Other Kharif pulses,38,0.41998231653404067
Crop,Other Vegetables,38,0.41998231653404067
Crop,Castor seed,34,0.3757736516357206
