file,size_mb,rows,columns,sample_rows,numeric_columns,dataset_family
ICRISAT-District Level Data.csv,8.83,16146,80,16146,"['Dist Code', 'Year', 'State Code', 'RICE AREA (1000 ha)', 'RICE PRODUCTION (1000 tons)', 'RICE YIELD (Kg per ha)', 'WHEAT AREA (1000 ha)', 'WHEAT PRODUCTION (1000 tons)', 'WHEAT YIELD (Kg per ha)', 'KHARIF SORGHUM AREA (1000 ha)', 'KHARIF SORGHUM PRODUCTION (1000 tons)', 'KHARIF SORGHUM YIELD (Kg per ha)', 'RABI SORGHUM AREA (1000 ha)', 'RABI SORGHUM PRODUCTION (1000 tons)', 'RABI SORGHUM YIELD (Kg per ha)', 'SORGHUM AREA (1000 ha)', 'SORGHUM PRODUCTION (1000 tons)', 'SORGHUM YIELD (Kg per ha)', 'PEARL MILLET AREA (1000 ha)', 'PEARL MILLET PRODUCTION (1000 tons)', 'PEARL MILLET YIELD (Kg per ha)', 'MAIZE AREA (1000 ha)', 'MAIZE PRODUCTION (1000 tons)', 'MAIZE YIELD (Kg per ha)', 'FINGER MILLET AREA (1000 ha)', 'FINGER MILLET PRODUCTION (1000 tons)', 'FINGER MILLET YIELD (Kg per ha)', 'BARLEY AREA (1000 ha)', 'BARLEY PRODUCTION (1000 tons)', 'BARLEY YIELD (Kg per ha)', 'CHICKPEA AREA (1000 ha)', 'CHICKPEA PRODUCTION (1000 tons)', 'CHICKPEA YIELD (Kg per ha)', 'PIGEONPEA AREA (1000 ha)', 'PIGEONPEA PRODUCTION (1000 tons)', 'PIGEONPEA YIELD (Kg per ha)', 'MINOR PULSES AREA (1000 ha)', 'MINOR PULSES PRODUCTION (1000 tons)', 'MINOR PULSES YIELD (Kg per ha)', 'GROUNDNUT AREA (1000 ha)', 'GROUNDNUT PRODUCTION (1000 tons)', 'GROUNDNUT YIELD (Kg per ha)', 'SESAMUM AREA (1000 ha)', 'SESAMUM PRODUCTION (1000 tons)', 'SESAMUM YIELD (Kg per ha)', 'RAPESEED AND MUSTARD AREA (1000 ha)', 'RAPESEED AND MUSTARD PRODUCTION (1000 tons)', 'RAPESEED AND MUSTARD YIELD (Kg per ha)', 'SAFFLOWER AREA (1000 ha)', 'SAFFLOWER PRODUCTION (1000 tons)', 'SAFFLOWER YIELD (Kg per ha)', 'CASTOR AREA (1000 ha)', 'CASTOR PRODUCTION (1000 tons)', 'CASTOR YIELD (Kg per ha)', 'LINSEED AREA (1000 ha)', 'LINSEED PRODUCTION (1000 tons)', 'LINSEED YIELD (Kg per ha)', 'SUNFLOWER AREA (1000 ha)', 'SUNFLOWER PRODUCTION (1000 tons)', 'SUNFLOWER YIELD (Kg per ha)', 'SOYABEAN AREA (1000 ha)', 'SOYABEAN PRODUCTION (1000 tons)', 'SOYABEAN YIELD (Kg per ha)', 'OILSEEDS AREA (1000 ha)', 'OILSEEDS PRODUCTION (1000 tons)', 'OILSEEDS YIELD (Kg per ha)', 'SUGARCANE AREA (1000 ha)', 'SUGARCANE PRODUCTION (1000 tons)', 'SUGARCANE YIELD (Kg per ha)', 'COTTON AREA (1000 ha)', 'COTTON PRODUCTION (1000 tons)', 'COTTON YIELD (Kg per ha)', 'FRUITS AREA (1000 ha)', 'VEGETABLES AREA (1000 ha)', 'FRUITS AND VEGETABLES AREA (1000 ha)', 'POTATOES AREA (1000 ha)', 'ONION AREA (1000 ha)', 'FODDER AREA (1000 ha)']",unknown
crop_production_haryana_punjab_1997_2014.csv,0.46,9048,7,9048,"['Crop_Year', 'Area', 'Production']",crop_production_or_yield
crop_production_haryana_punjab_1997_2019.csv,0.97,12447,10,12447,"['Area', 'Production', 'Yield']",crop_production_or_yield
fao_food_loss_export_2026-09-17.csv,7.02,30361,18,30361,"['m49_code', 'cpc_code', 'year', 'loss_percentage', 'loss_percentage_original', 'loss_quantity']",post_harvest_loss
india_crop_production_kaggle_mirror_1997_2014.csv,14.61,246091,7,50000,"['Crop_Year', 'Area', 'Production']",crop_production_or_yield
india_district_crop_production_1997_2019.csv,29.56,345407,10,50000,"['Area', 'Production', 'Yield']",crop_production_or_yield
post_harvest_loss_2022_haryana_punjab.csv,0.01,164,9,164,"['year', 'loss_percentage', 'source_pdf_page', 'source_table', 'source_row']",post_harvest_loss
post_harvest_loss_2022_state_stage.csv,0.12,1865,9,1865,"['year', 'loss_percentage', 'source_pdf_page', 'source_table', 'source_row']",post_harvest_loss
soil-nutrient-analysis.csv,1046.02,10853209,14,50000,"['id', 'state_code', 'district_code', 'block_code', 'village_code', 'value']",soil
soilgrids_0-5cm.csv,16.07,249001,13,50000,"['latitude', 'longitude', 'depth_top_cm', 'depth_bottom_cm', 'ph_h2o', 'organic_carbon_g_kg', 'total_nitrogen_g_kg', 'sand_pct', 'silt_pct', 'clay_pct', 'bulk_density_g_cm3', 'cec_cmol_kg', 'coarse_fragments_vol_pct']",soil
