column,dtype,rows,missing_count,missing_percent,unique_values_tracked
m49_code,int64,30361,0,0.0,157
country,int64,30361,0,0.0,159
region,int64,30361,28762,94.73337505352261,296
cpc_code,int64,30361,0,0.0,186
commodity,int64,30361,0,0.0,203
year,int64,30361,0,0.0,25
loss_percentage,int64,30361,0,0.0,4539
loss_percentage_original,int64,30361,0,0.0,5716
loss_quantity,int64,30361,25487,83.94651032574684,3270
activity,int64,30361,7119,23.44784427390402,140
food_supply_stage,int64,30361,3391,11.168933829584006,20
treatment,int64,30361,28869,95.08580086294918,620
cause_of_loss,int64,30361,29330,96.60419617272159,378
sample_size,int64,30361,28946,95.33941569777016,197
method_data_collection,int64,30361,36,0.11857316952669543,11
reference,int64,30361,73,0.24044003820691018,235
url,int64,30361,8239,27.136787325845656,947
notes,int64,30361,29364,96.71618194394124,346
