feature_1,feature_2,correlation,abs_correlation
loss_percentage,loss_percentage_original,1.0,1.0
cpc_code,loss_percentage_original,0.5159108299594145,0.5159108299594145
loss_percentage_original,loss_quantity,0.3712432269888213,0.3712432269888213
cpc_code,loss_percentage,0.17014908776592877,0.17014908776592877
loss_percentage,loss_quantity,0.16925276085032942,0.16925276085032942
m49_code,loss_percentage_original,0.11962955876911377,0.11962955876911377
m49_code,loss_quantity,0.0862192465749589,0.0862192465749589
m49_code,loss_percentage,0.0602026045664713,0.0602026045664713
cpc_code,loss_quantity,-0.06000708820285365,0.06000708820285365
m49_code,cpc_code,0.05489074119590339,0.05489074119590339
cpc_code,year,-0.05450296536628924,0.05450296536628924
year,loss_quantity,0.04165377989258217,0.04165377989258217
year,loss_percentage_original,-0.03811805519447928,0.03811805519447928
year,loss_percentage,-0.019673009299733073,0.019673009299733073
m49_code,year,0.006283098081330275,0.006283098081330275
