column,missing_count,missing_percent
notes,29364,96.71618194394124
cause_of_loss,29330,96.60419617272159
sample_size,28946,95.33941569777016
treatment,28869,95.08580086294918
region,28762,94.73337505352261
loss_quantity,25487,83.94651032574684
url,8239,27.136787325845656
activity,7119,23.44784427390402
food_supply_stage,3391,11.168933829584006
reference,73,0.24044003820691018
method_data_collection,36,0.11857316952669543
loss_percentage_original,0,0.0
country,0,0.0
loss_percentage,0,0.0
year,0,0.0
commodity,0,0.0
cpc_code,0,0.0
m49_code,0,0.0
