column,value,sample_count,sample_percent
state,Madhya Pradesh,195,10.455764075067025
state,Maharashtra,176,9.436997319034852
state,Andhra Pradesh,172,9.222520107238607
state,Gujarat,155,8.310991957104557
state,West Bengal,142,7.613941018766756
state,Karnataka,141,7.560321715817694
state,Uttar Pradesh,115,6.166219839142091
state,Tamil Nadu,111,5.951742627345845
state,Bihar,106,5.683646112600536
state,Odisha,93,4.986595174262734
state,Haryana,89,4.772117962466488
state,Rajasthan,88,4.718498659517426
state,Punjab,75,4.021447721179625
state,Kerala,64,3.4316353887399464
state,Assam,49,2.6273458445040214
state,Himachal Pradesh,41,2.1983914209115283
state,Meghalaya,27,1.447721179624665
state,Andaman and Nicobar Islands,14,0.7506702412868632
state,Chhattisgarh,12,0.6434316353887399
crop,Paddy,77,4.128686327077748
crop,Bajra,76,4.075067024128686
crop,Maize,75,4.021447721179625
crop,Milk,72,3.8605898123324396
crop,Sorghum,62,3.324396782841823
crop,Black gram,61,3.2707774798927614
crop,Groundnut,61,3.2707774798927614
crop,Wheat,61,3.2707774798927614
crop,Green gram,59,3.163538873994638
crop,Cabbage,56,3.002680965147453
crop,Onion,55,2.9490616621983916
crop,Marine fish,55,2.9490616621983916
crop,Tomato,52,2.7882037533512065
crop,Chickpea,45,2.4128686327077746
crop,Sugarcane,45,2.4128686327077746
crop,Cottonseed,42,2.25201072386059
crop,Potato,42,2.25201072386059
crop,Mushroom,42,2.25201072386059
crop,Poultry,41,2.1983914209115283
crop,Meat,37,1.9839142091152815
crop,Green Pea,37,1.9839142091152815
crop,Inland fish,36,1.9302949061662198
crop,Capsicum,36,1.9302949061662198
crop,Poultry Meat,34,1.8230563002680966
crop,Pigeon Pea,31,1.6621983914209115
crop,Sunflower,30,1.6085790884718498
crop,Cashew,29,1.5549597855227881
crop,Coconut,28,1.5013404825737264
crop,Pineapple,28,1.5013404825737264
crop,Citrus,27,1.447721179624665
loss_type,Farm Operations,1002,53.72654155495979
loss_type,Market Operations,749,40.160857908847184
loss_type,Total,114,6.112600536193029
stage,Transport,269,14.423592493297587
stage,Total loss in market operations,137,7.345844504021447
stage,Harvesting,136,7.2922252010723865
stage,Retailers,135,7.238605898123325
stage,Collection,131,7.024128686327078
stage,Wholesalers,128,6.863270777479893
stage,Packaging,126,6.7560321715817695
stage,Farm level storage,121,6.487935656836461
stage,Processing unit,115,6.166219839142091
stage,Overall total loss,114,6.112600536193029
stage,Total loss in farm operations,111,5.951742627345845
stage,Godown,98,5.254691689008043
stage,Drying,73,3.9142091152815013
stage,Threshing,63,3.3780160857908847
stage,Sorting/Grading,58,3.1099195710455763
stage,Winnowing/Cleaning,47,2.520107238605898
stage,Trimming,3,0.16085790884718498
