feature_1,feature_2,correlation,abs_correlation
state_code,village_code,0.91975213060915,0.91975213060915
state_code,district_code,0.7738022885603725,0.7738022885603725
district_code,village_code,0.7292794860903994,0.7292794860903994
state_code,block_code,0.6758591575511141,0.6758591575511141
block_code,village_code,0.6390376326941483,0.6390376326941483
district_code,block_code,0.5864794335014633,0.5864794335014633
id,district_code,-0.10314873998285527,0.10314873998285527
id,village_code,-0.07971893805406974,0.07971893805406974
id,block_code,-0.07316402220504627,0.07316402220504627
id,state_code,-0.026661471947785034,0.026661471947785034
block_code,value,-0.026250924434841172,0.026250924434841172
village_code,value,-0.02306538119856364,0.02306538119856364
state_code,value,-0.0117063749997484,0.0117063749997484
district_code,value,-0.0075561610277681025,0.0075561610277681025
id,value,0.003358393878004211,0.003358393878004211
