feature_1,feature_2,correlation,abs_correlation
sand_pct,silt_pct,-0.8729001598557953,0.8729001598557953
ph_h2o,bulk_density_g_cm3,0.7781866503835583,0.7781866503835583
organic_carbon_g_kg,total_nitrogen_g_kg,0.7647913220937088,0.7647913220937088
organic_carbon_g_kg,coarse_fragments_vol_pct,0.7397121513734602,0.7397121513734602
sand_pct,clay_pct,-0.7070068042335745,0.7070068042335745
cec_cmol_kg,coarse_fragments_vol_pct,0.6951713480794436,0.6951713480794436
total_nitrogen_g_kg,coarse_fragments_vol_pct,0.6843778114106912,0.6843778114106912
ph_h2o,total_nitrogen_g_kg,-0.6690346420047079,0.6690346420047079
total_nitrogen_g_kg,bulk_density_g_cm3,-0.6560433584516279,0.6560433584516279
ph_h2o,coarse_fragments_vol_pct,-0.6504218388517473,0.6504218388517473
organic_carbon_g_kg,cec_cmol_kg,0.5644270588374707,0.5644270588374707
bulk_density_g_cm3,coarse_fragments_vol_pct,-0.5563194957217275,0.5563194957217275
ph_h2o,organic_carbon_g_kg,-0.5561570629083943,0.5561570629083943
latitude,silt_pct,0.5380373899549681,0.5380373899549681
latitude,sand_pct,-0.5343528381433783,0.5343528381433783
latitude,total_nitrogen_g_kg,0.5228237704920163,0.5228237704920163
organic_carbon_g_kg,bulk_density_g_cm3,-0.5122025574978141,0.5122025574978141
longitude,ph_h2o,-0.4975872596455084,0.4975872596455084
longitude,bulk_density_g_cm3,-0.48906637182542856,0.48906637182542856
longitude,total_nitrogen_g_kg,0.47305371329136453,0.47305371329136453
latitude,organic_carbon_g_kg,0.4665370991255763,0.4665370991255763
total_nitrogen_g_kg,cec_cmol_kg,0.4556923473074464,0.4556923473074464
latitude,ph_h2o,-0.45176021615264433,0.45176021615264433
ph_h2o,cec_cmol_kg,-0.3958301990170231,0.3958301990170231
longitude,organic_carbon_g_kg,0.36846996339966004,0.36846996339966004
longitude,coarse_fragments_vol_pct,0.3536187745252427,0.3536187745252427
clay_pct,coarse_fragments_vol_pct,-0.2809458817559552,0.2809458817559552
latitude,bulk_density_g_cm3,-0.2770529548928682,0.2770529548928682
latitude,clay_pct,0.2740488087742869,0.2740488087742869
silt_pct,clay_pct,0.2721413247197909,0.2721413247197909
sand_pct,coarse_fragments_vol_pct,0.24207018111932796,0.24207018111932796
bulk_density_g_cm3,cec_cmol_kg,-0.23509781526559617,0.23509781526559617
latitude,coarse_fragments_vol_pct,0.21340307156511024,0.21340307156511024
longitude,sand_pct,-0.19305973982592872,0.19305973982592872
longitude,clay_pct,0.1915126901815929,0.1915126901815929
ph_h2o,clay_pct,-0.18638297851125388,0.18638297851125388
longitude,cec_cmol_kg,0.17406395886942072,0.17406395886942072
organic_carbon_g_kg,clay_pct,-0.17292445618830682,0.17292445618830682
total_nitrogen_g_kg,silt_pct,0.16365362082513155,0.16365362082513155
silt_pct,bulk_density_g_cm3,0.1635433781088536,0.1635433781088536
sand_pct,cec_cmol_kg,0.1398076721551823,0.1398076721551823
silt_pct,coarse_fragments_vol_pct,-0.13554554086657983,0.13554554086657983
longitude,silt_pct,0.13054546465336134,0.13054546465336134
sand_pct,bulk_density_g_cm3,-0.12457548740925033,0.12457548740925033
organic_carbon_g_kg,silt_pct,0.1244353069882356,0.1244353069882356
ph_h2o,sand_pct,0.12094273930886845,0.12094273930886845
clay_pct,cec_cmol_kg,-0.11821592399463005,0.11821592399463005
silt_pct,cec_cmol_kg,-0.10863544648648339,0.10863544648648339
total_nitrogen_g_kg,sand_pct,-0.1004850301345589,0.1004850301345589
latitude,cec_cmol_kg,0.05893734076971594,0.05893734076971594
total_nitrogen_g_kg,clay_pct,-0.03901127943075616,0.03901127943075616
ph_h2o,silt_pct,-0.03600391769261606,0.03600391769261606
clay_pct,bulk_density_g_cm3,0.008614730586268824,0.008614730586268824
latitude,longitude,-0.00762752018700551,0.00762752018700551
organic_carbon_g_kg,sand_pct,-0.0037483770703101173,0.0037483770703101173
