column,count,missing,mean,std,min,max
latitude,249001,0,30.082576296725712,1.4960967323423335,27.508364,32.698805
longitude,249001,0,75.83105335497447,1.2395014070811172,73.70113,77.996609
depth_top_cm,249001,0,100.0,0.0,100.0,100.0
depth_bottom_cm,249001,0,200.0,0.0,200.0,200.0
ph_h2o,249001,0,7.736100256625476,0.7392421179104326,5.5,9.3
organic_carbon_g_kg,249001,0,5.482342239589399,6.169606406091692,1.1,65.5
total_nitrogen_g_kg,249001,0,0.6183397255432709,0.391504938239538,0.2,4.29
sand_pct,249001,0,41.732598262657575,9.160636892905982,7.1,87.0
silt_pct,249001,0,31.279873173200112,6.74186645460235,5.3,70.0
clay_pct,249001,0,26.987545833149266,4.649886843609808,7.1,59.1
bulk_density_g_cm3,249001,0,1.4773830225581426,0.09178777193222674,0.89,1.72
cec_cmol_kg,249001,0,16.194444600624095,4.329871223138255,5.7,40.9
coarse_fragments_vol_pct,249001,0,14.162895329737633,7.842235449776767,1.1,47.8
