column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,15.0,15.0,0.0,0,0.0
depth_bottom_cm,30.0,30.0,0.0,0,0.0
ph_h2o,7.3,8.0,0.7000000000000002,5799,11.598
organic_carbon_g_kg,5.4,9.8,4.4,6384,12.768
total_nitrogen_g_kg,0.67,1.08,0.41000000000000003,9004,18.008
sand_pct,36.4,46.4,10.0,1779,3.558
silt_pct,28.4,36.2,7.800000000000004,1714,3.428
clay_pct,23.8,28.5,4.699999999999999,892,1.784
bulk_density_g_cm3,1.42,1.51,0.09000000000000008,6671,13.342
cec_cmol_kg,13.5,18.9,5.399999999999999,1750,3.5
coarse_fragments_vol_pct,6.3,13.5,7.2,2998,5.996
