,latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
latitude,1.0,-0.00762752018700551,,,-0.44548014260882973,0.5097655867047044,0.5176024051535845,-0.5135861199258974,0.5262013676798657,0.2509999272845617,-0.2853709817243101,0.09612571582887144,0.1853367530612513
longitude,-0.00762752018700551,1.0,,,-0.5048325932751038,0.44841139257188856,0.5391368142124101,-0.22924528360243615,0.21491608370386897,0.1407665442357458,-0.5146943196665487,0.17133387735704608,0.3954561795500261
depth_top_cm,,,,,,,,,,,,,
depth_bottom_cm,,,,,,,,,,,,,
ph_h2o,-0.44548014260882973,-0.5048325932751038,,,1.0,-0.6969226459673529,-0.7892547202790582,0.12598811079800867,-0.07656065126885915,-0.13699580568332143,0.7888393111995721,-0.39255971835058706,-0.6609778336922008
organic_carbon_g_kg,0.5097655867047044,0.44841139257188856,,,-0.6969226459673529,1.0,0.8430633980897618,-0.03904207916082622,0.15618208188375876,-0.14776856489054865,-0.7249625975463053,0.5490856731588049,0.7657844804817054
total_nitrogen_g_kg,0.5176024051535845,0.5391368142124101,,,-0.7892547202790582,0.8430633980897618,1.0,-0.12582228665702658,0.17482733149587534,-0.004439434023759147,-0.7830173216913032,0.47345256522233764,0.7337859026863588
sand_pct,-0.5135861199258974,-0.22924528360243615,,,0.12598811079800867,-0.03904207916082622,-0.12582228665702658,1.0,-0.8711238573845591,-0.7091084054407387,-0.1509559779275745,0.10465444673715268,0.24748065878234587
silt_pct,0.5262013676798657,0.21491608370386897,,,-0.07656065126885915,0.15618208188375876,0.17482733149587534,-0.8711238573845591,1.0,0.2715139460210179,0.11630809979818776,-0.058525687149627775,-0.12467868608793455
clay_pct,0.2509999272845617,0.1407665442357458,,,-0.13699580568332143,-0.14776856489054865,-0.004439434023759147,-0.7091084054407387,0.2715139460210179,1.0,0.1288366757576519,-0.12110528770063556,-0.3060581546672019
bulk_density_g_cm3,-0.2853709817243101,-0.5146943196665487,,,0.7888393111995721,-0.7249625975463053,-0.7830173216913032,-0.1509559779275745,0.11630809979818776,0.1288366757576519,1.0,-0.30995139225180296,-0.6669977965625876
cec_cmol_kg,0.09612571582887144,0.17133387735704608,,,-0.39255971835058706,0.5490856731588049,0.47345256522233764,0.10465444673715268,-0.058525687149627775,-0.12110528770063556,-0.30995139225180296,1.0,0.6768235839467625
coarse_fragments_vol_pct,0.1853367530612513,0.3954561795500261,,,-0.6609778336922008,0.7657844804817054,0.7337859026863588,0.24748065878234587,-0.12467868608793455,-0.3060581546672019,-0.6669977965625876,0.6768235839467625,1.0
